index,concept_id,feature
1149,raft,is used for transport
1150,bell_pepper,has a flavor
1151,brush,is used on animals
1152,toolbox,is portable
1153,trumpet,has a mouth-piece
1154,cigarette,produces smoke
1155,mixer,used for making cakes
1156,trunk,is used to keep things in
1157,fan,is yellow
1158,rhubarb,has green leaves
1159,dove,is pretty
1160,straw1,is fed to animals
1161,walnut,is brown
1162,milkshake,has chocolate
1163,telephone,has a dial
1164,triangle,is black
1165,straightjacket,is used for discipline
1166,pole,is used to climb poles
1167,container,is made of glass
1168,bomb,has different sizes
1169,grater,has holes
1170,jelly,is red
1171,nutcracker,has a wooden handle
1172,hash,is illegal in some countries
1173,ginger,has a strong taste
1174,crab,has six legs
1175,pelican,has a beak
1176,cougar,has a long tail
1177,computer,is used to write letters
1178,certificate,is a document
1179,balloon,is round
1180,toilet,is found in bathrooms
1181,tape_(scotch),is sticky
1182,flute,is musical
1183,apron,is used by cooks
1184,cockroach,lives in the ground
1185,chandelier,is used in bedrooms
1186,rocket,is heavy
1187,cedar,grows in forests
1188,crayon,has a color
1189,filing_cabinet,has a label
1190,crane,is used to build buildings
1191,saw,has a metal blade
1192,bus,holds many people
1193,coffeemaker,is an appliance
1194,pipe2,is used for air
1195,shopping_basket,is rectangular
1196,raincoat,is used in rainy weather
1197,axe,has a sharp blade
1198,necklace,is used to decorate the neck
1199,shortbread,has a base
1200,tree_trunk,is white
1201,parakeet,has a beak
1202,napkin,used for cleaning
1203,shoe_polish,is used with shoe polish sticks
1204,drill,has a drill bit
1205,pitchfork,has a stick
1206,frisbee,is white
1207,ostrich,lays eggs
1208,ice-cream_cone,has a soft texture
1209,hawk,has legs
1210,eraser,is shaped like a cylinder
1211,drum,has a hole
1212,hole,has a shape of an oval
1213,missile,requires fuel
1214,bean,has a shell
1215,tray,is used to serve drinks
1216,turtle,lives in the sea
1217,tricycle,is used to transport goods
1218,menu,has ink
1219,skirt,is worn for formal occasions
1220,string_cheese,is found in a box
1221,banjo,is used in country music
1222,otter,has legs
1223,coconut,has an eye
1224,camcorder,is used to make movies
1225,doorknob,is a household item
1226,catapult,a weapon
1227,palm_tree,is found near the sea
1228,leotards,is colourful
1229,bomb,has a fuse
1230,prawn,is fished
1231,raspberry,is sweet
1232,tarantula,is an invertebrate
1233,hoe,is used to make holes in the ground
1234,train,travels on tracks
1235,tray,has different shapes and sizes
1236,rocking_chair,has four legs
1237,trombone,is in an orchestra
1238,textbook,has questions
1239,honeycomb,is comb - shaped
1240,goose,has feathers
1241,grapefruit,is round
1242,mail,is a piece of paper
1243,rattle,is used for entertainment
1244,rocking_horse,is used to pretend
1245,houseboat,is small
1246,magpie,does make sound
1247,truck,has a driver 's seat
1248,saxophone,is played with your mouth
1249,camisole,worn under shirts
1250,tomato,is grown in gardens
1251,spinach,has a stem
1252,tea,has sugar
1253,quiche,is made with flour
1254,chain,is used for discipline
1255,kettle,is a metal object
1256,rat,is a pet
1257,oak,is brown
1258,trumpet,does make music
1259,chip,has a logo on it
1260,tent,is made of material
1261,rope,has different lengths
1262,thermometer,is a medical instrument
1263,ruler,has a flat edge
1264,bikini,is made of spandex
1265,bow_(weapon),used for archery
1266,parakeet,has wings
1267,eyepiece,has a size
1268,bow_(weapon),a weapon
1269,crane,is yellow
1270,stick,has bark
1271,cart,used by pushing
1272,foam,is white
1273,biscuit,is edible
1274,grape,used for raisins
1275,penguin,has wings
1276,frog,is eaten
1277,tank1,is used for transportation of soldiers
1278,bowler_hat,is worn on the head
1279,piano,is made of wood
1280,bok_choy,is eaten cooked
1281,fox,is a pet
1282,scoreboard,is a sign
1283,pony,has hair
1284,strainer,is used for pasta
1285,donkey,has long ears
1286,tuxedo,is made of wool
1287,box,is a container
1288,rat,is a pet
1289,rifle,has a safety catch
1290,surfboard,is fast
1291,pulpit,has no organs
1292,prune,tastes sweet
1293,parrot,has colorful feathers
1294,tarantula,has fur
1295,violin,is long
1296,bench,is used to sit on in parks
1297,camel,has long legs
1298,javelin,is used for sport
1299,church,is quiet
1300,faucet,used for regulating
1301,robe,found in bathrooms
1302,grapevine,is found in vineyards
1303,cheese,is soft
1304,cookie_sheet,has a flat bottom
1305,videocassette,is erased
1306,peach,is juicy
1307,bellows,does blow
1308,hammer,is used to drive in nails
1309,bucket,is a container
1310,souffle,is soft
1311,spareribs,has ribs
1312,bullet,has a cartridge
1313,ruler,is used in schools
1314,ant,has 6 legs
1315,key,has a loop
1316,firecracker,has a trigger
1317,mango,is yellowish green
1318,cigar,is used to smoke tobacco
1319,nose,does breathe
1320,pistol,is heavy
1321,turkey,is domesticated
1322,oatmeal,is cooked on the stove
1323,carrot,is long
1324,manhole,is used to cover manholes in the street
1325,pepper2,has a hole
1326,branch,is flexible
1327,kettle,is black
1328,tugboat,made of plastic
1329,bullet,is small
1330,stick,is a vegetable
1331,basement,used for storage
1332,earring,is used by women
1333,goalpost,has two uprights
1334,metronome,is made of plastic
1335,crane,has wheels
1336,racehorse,runs fast
1337,dog,eats
1338,speedboat,is light
1339,drill,is useful
1340,hearse,is used for the dead
1341,chandelier,is ornate
1342,blinder,is found on the head
1343,badge,has a shiny surface
1344,javelin,has a sharp point
1345,sunflower,has a centre
1346,nose,does breathe
1347,melon,is eaten in salads
1348,tackle,is used for bait
1349,harp,is used for classical music
1350,revolving_door,has a frame
1351,piecrust,has a filling
1352,turntable,is used in homes
1353,house,has doors
1354,hyena,has a tail
1355,exhaust_pipe,is used for the exhaust system
1356,trolley,is used to move goods
1357,biscuit,has eggs
1358,spear,is dangerous
1359,housefly,is black
1360,clamp,used for surgery
1361,umbrella,has ribs
1362,hammer,is used to make furniture
1363,cape,is red
1364,fork,has a point
1365,rock,has a smooth surface
1366,strainer,is like a sieve
1367,seal,is a sea animal
1368,potato,has different sizes
1369,sauce,has a yellow color
1370,speaker,is portable
1371,tuna,is fast
1372,sardine,is eaten by humans
1373,crystal_ball,is used by holding and looking into to tell the future
1374,apple,grows in the summer
1375,monkey,is brown
1376,jeep,has a windshield
1377,horn,makes noise
1378,parka,a jacket
1379,plunger,is made of hard plastic
1380,seagull,has eyes
1381,cup,is filled with liquid
1382,staple,has a pointy end
1383,urn,made of metal
1384,pocketknife,is used for wood
1385,copier,makes copies
1386,crayfish,has eyes
1387,coconut,has a stalk
1388,crowbar,is a weapon
1389,mailbox,is a container
1390,turtle,is an animal
1391,truck,is green
1392,nut,is found in the ground
1393,apple,tastes good
1394,faucet,is used to clean dishes
1395,clam,is found in sand
1396,hedgehog,is found in forests
1397,bed,has a frame
1398,mug,is used to drink tea
1399,inhaler,is used to inhale medication
1400,dolphin,lives in the ocean
1401,shark,has a long nose
1402,chair,used by sitting on
1403,souffle,is made from eggs
1404,chisel,has a flat blade
1405,magpie,does squeak
1406,walker1,is used by people
1407,clam,is an animal
1408,shovel,is used for planting trees
1409,dollhouse,has furniture
1410,sandal,is made in china
1411,cup,made of china
1412,pillow,has filling
1413,ant,lives in ground
1414,rifle,used for killing
1415,wheelchair,is used by old people
1416,trousers,has 2 legs
1417,trident,is used to stab
1418,tattoo,is used by soldiers
1419,carrot,is round
1420,hummingbird,has a short lifespan
1421,pipe1,is associated with gangsters
1422,motorcycle,has a frame
1423,emerald,a birth stone
1424,granite,comes from mines
1425,chimp,walks
1426,missile,is launched
1427,tripod,is used to take pictures and videos in the dark
1428,squid,is a carnivore
1429,taxi,is used to carry passengers
1430,rhubarb,is eaten as dessert
1431,cigar,is thin
1432,calf1,is found on farms
1433,tortoise,does crawl
1434,lamb,has curly hair
1435,grapefruit,is bitter
1436,combination_lock,is used to open doors
1437,cage,is made of metal
1438,cardinal,is found in africa
1439,seahorse,does swim upright
1440,margarita,contains alcohol
1441,fridge,is cool
1442,petal,has a top
1443,cilantro,is used by chefs
1444,tights,does come in colours
1445,pigeon,is eaten
1446,ironing_board,is used by women
1447,grenade,is used for fighting
1448,trousers,does cover legs
1449,parsley,does flavour
1450,blouse,a shirt
1451,peas,is a seed
1452,key,is gold
1453,mouse1,likes cheese
1454,beehive,found in trees
1455,sugar,is white
1456,brush,is used to make hair look good
1457,coleslaw,is a vegetable
1458,camel,a mammal
1459,shovel,has an end
1460,potpie,has a flaky crust
1461,taco,has a spicy filling
1462,lip_balm,is used in cold weather
1463,curb,is found in towns
1464,tortilla,is used for mexican food
1465,slide,is found on playgrounds
1466,shrimp,is pink
1467,bucket,is made of different materials
1468,nectarine,is red
1469,ambulance,does go on roads
1470,shawl,does wrap around
1471,marmalade,is made from raspberries
1472,veil,is used for prayer
1473,peach,tastes sweet
1474,nacho,is triangular
1475,duck,migrates
1476,jacket,is worn by people
1477,tongs,is not expensive
1478,mongoose,is found in africa
1479,gorilla,is largest
1480,camel,does carry
1481,cigarette_butt,has a value
1482,thimble,is worn on the finger
1483,flute,is thin
1484,wrench,used for loosening bolts
1485,thermometer,has a case
1486,lamb,is a farm animal
1487,chandelier,is hung from the ceiling
1488,freezer,has ice inside
1489,oak,is slow-growing
1490,shotgun,is a gun
1491,shed,found outdoors
1492,caterpillar,has a hard shell
1493,sultana,is food
1494,screwdriver,is useful
1495,eagle,is used to fly
1496,chair,has four legs
1497,raspberry,is soft
1498,caramel,has cream
1499,cake,is eaten at celebrations
