index,concept_id,feature
1147,lion,is used to hunt
1148,leech,is not dangerous
1149,broccoli,is used to cook
1150,scaffold,is used to raise objects
1151,faucet,has a tap
1152,cornucopia,has a curved shape
1153,cassette,is a player
1154,doorbell,is used to inform someone
1155,meatball,is found in italian restaurants
1156,hut,made by humans
1157,slot,has a door
1158,slot,is used for entertainment
1159,rabbit,is kept as a pet
1160,trousers,does come in colours
1161,kite,is small
1162,tarantula,is a spider
1163,raisin,is healthy
1164,caviar,is eaten with crackers
1165,raft,used by Tom Sawyer
1166,walrus,is hunted for its meat
1167,envelope,different colours
1168,sled,used on snow
1169,platypus,does eat
1170,duffel_bag,is a bag
1171,dresser,used for storing clothing
1172,clarinet,made of metal
1173,centerpiece,has a bowl
1174,ship,used for transportation
1175,birch,is deciduous
1176,bolts,different sizes
1177,gorilla,has short legs
1178,soup,has salt
1179,lantern,produces light
1180,daisy,is small
1181,fridge,has racks
1182,orange,is used to drink
1183,knife,is used to cut
1184,yacht,has a cabin
1185,armor,has different parts
1186,ant,is used for food
1187,donkey,is a pet
1188,falcon,an animal
1189,saxophone,is made of wood
1190,train,does drive
1191,pliers,is a lever
1192,chest2,is used as a table
1193,ruler,has inches
1194,umbrella,does shelter
1195,mustache,has a mouth
1196,cockroach,is found in unhygienic conditions
1197,burner,is used to boil
1198,insole,is worn on the feet
1199,carrot,has fiber
1200,bouquet,is used for decoration
1201,pulley,is used to lift heavy weights
1202,toaster,is used for heating food
1203,trolley,is used for work
1204,furnace,has an exhaust pipe
1205,tag,is thin
1206,peppermint,has skin
1207,glove,is knitted
1208,leggings,is worn in the winter
1209,toilet_paper,is soft
1210,overalls,is a clothing
1211,laundry_basket,is used in the bedroom
1212,braid,is used to make hairstyle
1213,jacket,is fashionable
1214,limousine,is a symbol
1215,grenade,is used for military purposes
1216,bucket,made of plastic
1217,goat,lives in mountains
1218,cardigan,is worn by girls
1219,drain,used by connecting to pipes
1220,sleigh,is fun
1221,guacamole,comes in a bowl
1222,eggplant,is edible
1223,shawl,worn by women
1224,rhubarb,is green
1225,grille,is made of plastic
1226,sweeper,is small
1227,cow,is female
1228,carrot,has a top
1229,garage,part of a house
1230,razor,is used to cut hair on the head
1231,armchair,is for reading
1232,screwdriver,has a wooden handle
1233,trombone,has a slide valve
1234,stair,is made of wood
1235,asparagus,eaten by cooking
1236,roller,is made of metal
1237,volleyball,is used for fun
1238,sonogram,is a photograph
1239,helicopter,is used in the navy
1240,saxophone,is a woodwind instrument
1241,knife,is used to cook
1242,chain,has a pendant
1243,bun,has a hole in the middle
1244,reindeer,has a long nose
1245,wheat,is a food
1246,whisk,made of curved wires
1247,olive,is red
1248,barbell,is solid
1249,duckling,is yellow
1250,strawberry,is used in desserts
1251,guitar,is used for entertainment
1252,sandbox,is used for children 's games
1253,lavender,grows in england
1254,notebook,is used with pens
1255,spam,is eaten as spam
1256,squirrel,has a tail
1257,bed,is used for rest
1258,toad,has a long life
1259,tulip,has an orange center
1260,wand,is used to cast spells
1261,pyramid,found in deserts
1262,robe,is like a dressing gown
1263,rifle,has a barrel
1264,radish,is used for salads
1265,shoes,has buckles
1266,oriole,lays eggs
1267,water_filter,is used in a house
1268,raisin,tastes sweet
1269,chipmunk,lives in trees
1270,bib,is available in different sizes
1271,cart,used by pushing
1272,desk,is wooden
1273,trombone,is silver
1274,leopard,has four legs
1275,copier,is used to fax
1276,basement,used for storage
1277,ice-cream_cone,has a flat bottom
1278,grille,has holes for air to pass through
1279,starfish,lives in oceans
1280,seahorse,is used in aquariums
1281,bedpost,supports the mattress
1282,mailbox,is used to mail letters
1283,falcon,has talons
1284,scaffolding,has a platform
1285,blanket,covers a bed
1286,figurine,is a model
1287,spade,is found on beaches
1288,shrimp,is clear
1289,ice,is made of water
1290,housefly,is killed
1291,squirrel,is found in parks
1292,cake,is yummy
1293,trumpet,is played in orchestras
1294,pliers,is held in the hand
1295,badge,is attached
1296,blouse,is light
1297,macaroni,is a carbohydrate
1298,cow,eaten as meat
1299,scoreboard,is used to play games
1300,asparagus,is grown in fields
1301,beaver,is used for coats
1302,exhaust_pipe,is connected to a tractor
1303,stick,is used in sports
1304,blender,is used to make gravy
1305,veil,protects the face
1306,manatee,swims
1307,shrimp,grows in the ocean
1308,rope,used for securing
1309,trigger,is pulled by fingers
1310,crossbow,is old fashioned
1311,slug,is soft
1312,celery,a vegetable
1313,thimble,made of plastic
1314,baton1,has a handle
1315,gin,is drunk to loose all inhibitions
1316,tweezers,is useful
1317,subway,found in cities
1318,ruler,used for drawing
1319,pencil,is yellow
1320,pistol,has a chamber
1321,guitar,is made of hard wood
1322,iguana,is gray
1323,amber,is yellow
1324,peacock,is colourful
1325,oyster,is slimy
1326,drawer,has handles
1327,coleslaw,has a dressing
1328,chicken1,is food
1329,shutter,is a window accessory
1330,clamp,a vice
1331,bear,is large
1332,mast,is strong
1333,squid,is edible
1334,desk,is sat at
1335,moth,is black and white in color
1336,bouquet,is used in celebrations
1337,tablet,is mobile
1338,lipstick,has a lid
1339,coach_(vehicle),is old
1340,lion,is associated with lion king
1341,touchpad,is part of a computer
1342,cape,associated with Batman
1343,shotgun,a weapon
1344,compost,is used to grow food
1345,bridge,used by cars
1346,gate,has different colors
1347,cake,made of milk
1348,boat,is a vehicle
1349,hawk,eats rodents
1350,canoe,has paddles/is paddled
1351,duct,has a rough surface
1352,veil,is a fabric
1353,bag,is used to carry things
1354,vacuum,is noisy
1355,cheetah,does kill
1356,dolphin,lives in oceans
1357,pin,pricks fingers
1358,can_opener,has a motor
1359,coyote,a mammal
1360,juice,is made of juice
1361,avocado,is eaten in salads
1362,brandy,is set alight
1363,jar,is made of plastic
1364,butterfly,is used for pollination
1365,sprinkler,has a long pipe
1366,crouton,has a crunch
1367,sardine,is a small fish
1368,hot_tub,contains heat
1369,trumpet,is played by blowing air into it
1370,kettle,does make tea
1371,brussels_sprouts,is found in shops
1372,wrench,used for plumbing
1373,grenade,has a ring
1374,porcupine,is used as a pet
1375,bike,has a bell
1376,nut,contains oil
1377,footrest,is long
1378,bread,is white
1379,motorcycle,is loud
1380,mask,covers the eyes
1381,jeans,is old
1382,armour,worn for protection
1383,pantsuit,is made of wool
1384,ottoman,has an inside
1385,pony,has a long mane
1386,crown,worn by kings
1387,window,does open and close
1388,calf1,does drink
1389,shirt,is worn to work
1390,basket,made of wicker
1391,bouquet,is pretty
1392,cello,made of wood
1393,cup,is made of metal
1394,espresso,is drunk at night
1395,dolphin,lives in seas
1396,calf1,has 4 hoofs
1397,cannon,is found on boats
1398,calf1,is heavy
1399,deer,is found in the mountains
1400,cheese,is a food
1401,goat,has a long neck
1402,pickax,is used to build
1403,charcoal,is used in fireworks
1404,clay,is a material
1405,piecrust,is used to make dough
1406,zebra,is used for research
1407,tool,is used to break things
1408,goldfish,has a mouth
1409,deckchair,is associated with summer
1410,saxophone,is played with the fingers
1411,sailboat,a boat
1412,flamethrower,is used to burn trash
1413,blouse,has a yoke
1414,snack,is used to relieve hunger
1415,gurney,is found in the emergency department
1416,confetti,is shiny
1417,biscuit,made of butter
1418,salami,comes in slices
1419,tiger,is orange
1420,loincloth,is worn on the waist
1421,grapefruit,is eaten raw
1422,ottoman,is used to store things
1423,olive,is Mediterranean
1424,bucket,is black
1425,wooden_leg,is found on men
1426,centipede,is thin
1427,puppet,is black
1428,hamster,has fur
1429,potato,has roots
1430,elephant,is dangerous
1431,clipper2,is used to shear
1432,airbag,is yellow
1433,apron,is used by chefs
1434,centerpiece,has candy
1435,bracket,holds things
1436,comb,has a flat surface
1437,oven,has four legs
1438,bus,has a bell
1439,dishrag,has a texture
1440,dagger,is hidden
1441,glue,is used to glue
1442,turf,is on the ground
1443,goggles,does come in pairs
1444,navel,is found on the belly
1445,sequin,is found on clothing
1446,tobacco,is used to make snuff
1447,lips,has muscles
1448,dresser,has a flat top
1449,catapult,is used in combat
1450,chapel,used for worshipping
1451,crumb,is a bread topping
1452,fan_(appliance),used for blowing air
1453,rosary,has a pendant
1454,lobster,has legs
1455,bench,is made of cement
1456,cheetah,has paws
1457,cup,a mug
1458,icicle,has a pointed tip
1459,warthog,is hunted for its tusks
1460,rifle,is lethal
1461,chair,does swivel
1462,seaweed,is in Chinese cookery
1463,finger,is useful
1464,brush,is used to clean hair
1465,iguana,eats bugs
1466,football,has two poles
1467,bullet,is small
1468,pennicillin,does good
1469,freezer,used for storing food
1470,rocking_chair,is associated with old people
1471,vacuum,has colors
1472,car,is a vehicle
1473,canoe,used by Indians
1474,tractor,has wheels
1475,wafer,is eaten by children
1476,grain,is ground into flour
1477,saucer,is breakable
1478,wax_paper,is not edible
1479,star_fruit,has pulp
1480,scuba,is used for water
1481,hippo,is a herbivore
1482,vending_machine,is operated by credit card
1483,projector,is found in classrooms
1484,jacket,is worn in the winter
1485,ear,does make vibrations
1486,coin,has a value
1487,twig,has thorns
1488,thermometer,is used to measure body temperature
1489,catfish,has whiskers
1490,sorbet,comes in different flavors
1491,nylons,has toes
1492,chandelier,is light
1493,octopus,is a marine animal
1494,exerciser,is used for rehabilitation
1495,fox,eats small animals
1496,sheep,used for wool
1497,chair,has a cushion
1498,branch,is a tree
1499,wheelbarrow,made of metal
1500,jug,is used to pour wine
1501,sweater,is worn on top of clothes
1502,bear,is wild
1503,flute,makes sounds
1504,gravy,is eaten with meat
1505,eagle,does dive
1506,caribou,has horns
1507,candle,is colourful
1508,peas,is yellow
1509,raisin,tastes sweet
1510,oak,has a trunk
1511,cinnamon,is sold in small containers
1512,football,is used to keep score
1513,hovercraft,has a safety bar
1514,mirror,used for showing reflections
1515,ibuprofen,is pink
1516,cat,is black
1517,spider,is found in gardens
1518,seatbelt,is attached to the car
1519,lettuce,has stems
1520,sheep,a baby is a lamb
1521,chick,is fluffy
1522,zebra,a horse
1523,lemon,used for juice
1524,robin,a bird
1525,cap,is made in factories
1526,chili,has leaves
1527,accordion,has strings
1528,tuba,produces sound
1529,pillbox,has different colors
1530,filter,is used to drink
1531,bobsled,is used by two people
1532,catapault,has a base
1533,rooster,lives on farms
1534,desk,found in libraries
1535,horse,used for working
1536,swordfish,is found in schools
1537,menu,has words on it
1538,marigold,has stamens
1539,piano,is white
1540,spear,used for killing
1541,barrel,is found in cellars
1542,umbrella,is made of metal
1543,bell,made of brass
1544,finch,sings
1545,bomb,has a timer
1546,fawn,eats leaves
1547,sheep,is associated with easter
1548,cloak,is big
1549,bullet,has a taste
1550,bag,made of material
1551,almond,has a taste
1552,golf_club,has a ball
1553,sundial,has a stand
1554,velcro,is a fastener
1555,board,is smooth
1556,ball,is played with
1557,strawberry,grows in fields
1558,highlighter,has a marker
1559,seaweed,has leaves
1560,oyster,is expensive
1561,dumbwaiter,is used in houses
1562,ox,has fur
1563,shirt,is worn by people
1564,poison,made of chemicals
1565,hamster,eats plants
1566,cockroach,has many legs
1567,sunflower,grows on plants
1568,chair,has a back
1569,houseboat,is lived in
1570,cellphone,has buttons
1571,napkin,is used to clean your face
1572,sledge,made of plastic
1573,pedal,is round
1574,chalk,is used in art
1575,sledge,is pulled by dogs
1576,duct,is sharp
1577,taxi,has a trunk
1578,brush,has bristles
1579,stroller,is used to keep babies safe
1580,level,used for making straight lines
1581,hook2,used as a hand
1582,swan,is used for transportation
1583,sewing_machine,is found in the country
1584,limousine,is luxurious
1585,subway,has a table
1586,cookie_sheet,has a smooth surface
1587,grapefruit,eaten by peeling
1588,hose,is plastic
1589,coop,has a lock
1590,avocado,is a vegetable
1591,sauce,is used on pasta
1592,baton3,is musical
1593,chainsaw,is fast
1594,mint,is aromatic
1595,lantern,made of glass
1596,unicycle,is used for entertainment
1597,helmet,is used in football
1598,oriole,is black
1599,bow3,is a present decoration
1600,garbage_truck,has a big mouth
1601,aluminum_foil,is made of tin
1602,spinach,has roots
1603,honeydew,tastes good
1604,cape,is used by women
1605,wooden_leg,has a peg leg
1606,octopus,has eyes on stalks
1607,beanie,is round
1608,cordon_bleu,is blue
1609,trumpet,is used for music
1610,fawn,is soft
1611,octopus,lives in oceans
1612,rope,is used to tie
1613,handcuff,is locked
1614,van,a vehicle
1615,painting,is found in museums
1616,budgie,a pet
1617,tractor,has two big wheels
1618,pier,is large
1619,gourd,has a hard shell
1620,raspberry,is used to make pies
1621,rocket,is yellow
1622,cloak,is worn
1623,pincushion,has a sharp object
1624,mushroom,is small
1625,whistle,is made of metal
1626,nylons,a stockings
1627,fire,is hot
1628,chicken1,is domesticated
1629,mat,is used to carry things
1630,barn,has stalls
1631,hose,has a round end
1632,table,is a piece of furniture
1633,toad,has legs
1634,scissors,has 2 blades
1635,pliers,has a metal head
1636,snail,has a body
1637,razor,has a handle
1638,beaver,is found in America
1639,polygraph,records lies
1640,teacup,is made of ceramic
1641,bagpipes,does make sound
1642,cheese,is melted
1643,chili,is served in restaurants
1644,grenade,a weapon
1645,mushroom,grows underground
1646,train,has a conductor
1647,bicycle,is ridden
1648,urinal,has a hole in the top
1649,solar_panel,is made of cells
1650,pencil,a utensil
1651,amber,is old
1652,corkscrew,is found in drawers
1653,antelope,is used for meat
1654,bull,has horns
1655,sword,is a blade
1656,celery,is edible
1657,skillet,found in kitchens
1658,violin,has ribs
1659,spider,does move
1660,clam,does nothing
1661,mud,comes from the ground
1662,ink,writes well
1663,pastry,has nuts
1664,hot-air_balloon,rises in the air
1665,sweet_potato,is eaten
1666,beaver,does build
1667,biscuit,eaten with tea
1668,jacket,worn for the rain
1669,furnace,heats air
1670,ring,is round
1671,thermometer,is a device
1672,anchor,is heavy
1673,prune,has a sweet taste
1674,book,is flat
1675,pasta,has strings
1676,boots,has heels
1677,ramp,is on stairs
1678,motherboard,has a cd drive
1679,wine,is consumed during holidays
1680,budgie,chirps
1681,trombone,has a mouth-piece
1682,tank1,has a crew
1683,mandarin,tastes sweet
1684,wheelbarrow,has garden equipment
1685,monkey,is frightening
1686,hoe,is used to cut vegetables
1687,knitting,is used to make socks
1688,skateboard,is thin
1689,flute,has buttons
1690,caramel,has a chewy texture
1691,beanie,has ear flaps
1692,hose,is white
1693,birthday_cake,is for a birthday
1694,toy,makes noises
1695,celery,has small leaves
1696,hose,is used by firemen
1697,nail_polish,does pour
1698,jelly_bean,has a shell
1699,satchel,has a long strap
1700,taffy,is made with butter
1701,vacuum,has wheels
1702,geranium,has a distinctive smell
1703,blackberry,has thorns
1704,casserole,is prepared with meat
1705,flatiron,is a cooking utensil
1706,collar,is used for dogs
1707,plough,is a machine
1708,scoreboard,is used in football games
1709,breadbox,is a container
1710,blanket,has different sizes
1711,duck,is a water bird
1712,beaver,does chew wood
1713,spear,is used by hunters
1714,swimsuit,made of different materials
1715,moth,is not edible
1716,sausage,has different flavors
1717,radio,is found in bedrooms
1718,badger,is a carnivore
1719,plate,made of china
1720,mouthpiece,is a mouth guard
1721,moose,an animal
1722,whip,a weapon
1723,parsley,tastes bitter
1724,plum,is eaten raw
1725,bow_(weapon),is a weapon
1726,fossil,is discovered by digging
1727,swimsuit,different colours
1728,cork,made of cork
1729,crayon,is used for children
1730,nectarine,is juicy
1731,popcorn,has a flavor
1732,paper_plate,is used to serve salad
1733,bathtub,found in bathrooms
1734,biscuit,has a short shelf life
1735,dogfood,is made of vegetables
1736,rock,is irregular
1737,coat,is a coat
1738,helicopter,has rotating blades
1739,peas,is boiled
1740,birdcage,has four walls
1741,crowbar,has a pointy end
1742,blinder,has a hole in the center
1743,dove,is grey
1744,dishwasher,has a plug
1745,seaweed,has different flavors
1746,accordion,is played by pressing buttons
1747,rhubarb,is crunchy
1748,whip,is a weapon
1749,nail,has grooves
1750,wick,has a flame
1751,crane_(machine),used for moving things
1752,monkey,does live in groups
1753,tree,has fruit
1754,eucalyptus,is exotic
1755,mustard,is a vegetable
1756,turkey,is black
1757,puffin,is aquatic
1758,broccoli,has yellow flowers
1759,revolver,is black
1760,hose,is flexible
1761,splinter,has to pull it out
1762,butterfly,is a pest
1763,bellows,has pressurised air
1764,eagle,is a brown bird
1765,arm,has joints
1766,hydrant,is red in color
1767,banana,tastes good
1768,cap,is American
1769,barrel,is found in houses
1770,knife,made of metal
1771,spider,has long legs
1772,stove1,used for heating
1773,toaster,an appliance
1774,swan,lays eggs
1775,brandy,is drunk from a glass
1776,jeans,is comfortable
1777,mullet,has a flat top
1778,skunk,has a tail
1779,bottle,has a lid
1780,sorbet,is tasty
1781,stork,eats fish
1782,carpet,is shag
1783,tumbleweed,is used for art
1784,piano,is black
1785,sink,clogs
1786,cellar,is dark
1787,rabbit,is found in south america
1788,cart,is pulled by people
1789,barn,used for animals
1790,saxophone,a musical instrument
1791,pumpkin,has a thin skin
1792,bread,made of wheat
1793,raft,is used for transportation of people
1794,walrus,swims
1795,brush,is small
1796,goose,is hunted for food
1797,flamingo,does stand on one leg
1798,book,has pictures
1799,earmuffs,worn by children
1800,pliers,does turn
1801,brussels_sprouts,grows on stalks
1802,leotard,has a neckline
1803,knot,is wood
1804,french_horn,does make sound
1805,corsage,has laces
1806,giraffe,is a mammal
1807,tomato,is made of fruit
1808,bread,requires baking
1809,drink,has sugar in it
1810,cookie_sheet,is used to cook cookies
1811,crowbar,used by thieves
1812,watermelon,is striped
1813,pyramid,is old
1814,lamb,is used to eat
1815,tyre,is sold
1816,sledge,is ridden
1817,chair,is used for relaxation
1818,crown,is worn by royalty
1819,bead,has a hole on the side
1820,cooker,has a grill
1821,pepper2,a seasoning
1822,dictionary,is easy to use
1823,modem,is electrical
1824,fork,has four tines
1825,grasshopper,has antennae
1826,carrot,has green leaves
1827,harmonica,is played by blowing into it
1828,license_plate,has a specific format
1829,vent,is made of metal
1830,wheelbarrow,is used to move things
1831,wrapping_paper,is used for birthdays
1832,flamingo,has a long beak
1833,photo_booth,has a camera
1834,pickle,tastes sweet
1835,cheetah,has whiskers
1836,mouse1,is edible
1837,radio,made of plastic
1838,kite,has a frame
1839,gorilla,is violent
1840,crocodile,eats animals
1841,polisher,is a tool
1842,taxi,is used for transport
1843,tennis_ball,is used for games
1844,lettuce,eaten with dressings
1845,mask,made of wood
1846,peeler,made of metal
1847,steamroller,is used to flatten
1848,fox,is red
1849,owl,does hoot
1850,yoyo,is circular
1851,pillow,is made of feathers
1852,screwdriver,has a point
1853,shoes,does keep feet warm
1854,cow,eats grass
1855,celery,is eaten in salads
1856,slide,has a top
1857,otter,has sharp teeth
1858,fern,is used for ground cover
1859,ruler,has a square shape
1860,ostrich,has a long tail
1861,electric_chair,is used for murder
1862,washboard,is a device
1863,pin,does pin on a wall
1864,basket,used at Easter
1865,jackhammer,is used in cities
1866,yoke,is an animal
1867,cocktail,is a party drink
1868,wasp,is scary
1869,handkerchief,has laces
1870,hoe,used for gardening
1871,rattle,is loud
1872,whisk,is manual
1873,goldfish,is yellow
1874,cigar,is smelly
1875,revolving_door,has a glass window
1876,revolver,requires bullets
1877,walrus,is big
1878,scalpel,is used by doctors
1879,bear,eats fish
1880,garlic,has a stem
1881,owl,has wings
1882,escalator,goes down
1883,spanner,has a handle
1884,flute,is in an orchestra
1885,olive,has a skin
1886,rock,is used in homes
1887,pyramid,has a point at the top
1888,sheep,climbs
1889,frame,has a hook on the back
1890,spareribs,has bones
1891,turnstile,has an entrance
1892,submarine,is yellow
1893,beets,is red
1894,snack,is high in fat
1895,belt_buckle,is fastened with a belt
1896,skirt,has a waistband
1897,heron,has legs
1898,flower,is an animal
1899,cigarette,is smoked
1900,saw,is modern
1901,ant,lives in a colony
1902,lettuce,has a leafy top
1903,sardine,is canned
1904,knife,is used as a weapon
1905,pig,has legs
1906,ring,has a design
1907,place_mat,is a piece of cloth
1908,gun,fires bullets
1909,beetle,has a hard shell
1910,air_conditioner,is used in bedrooms
1911,beaver,has a small head
1912,gerbil,is stupid
1913,cabbage,grows from seeds
1914,buggy,is used for recreational purposes
1915,cleat,is used to play soccer
1916,wallet,is brown
1917,bow1,is a weapon
1918,telephone,has numbers
1919,pickax,is used to dig holes
1920,filing_cabinet,has handles
1921,jellyfish,is unusual
1922,leotards,worn for dancing
1923,skunk,has legs
1924,game,has a batter
1925,granola,contains seeds
1926,platypus,has a duck bill
1927,nightgown,worn at night
1928,machete,is useful
1929,gun,kills people
1930,seed,has a hard covering
1931,wire,is heated
1932,balloon,floats
1933,octopus,is used for pets
1934,caviar,is salty
1935,apron,is tight
1936,grill,has a long handle
1937,pigeon,is found in the city
1938,rocket,is colourful
1939,cabbage,a vegetable
1940,gold,is used to make things
1941,canoe,is used to race
1942,giraffe,lives in Africa
1943,ambulance,is fast
1944,shoes,made of cotton
1945,cheese,used with food
1946,gate,is found on farms
1947,calamari,has skin
1948,blender,is a kitchen appliance
1949,traffic_light,is rectangular
1950,bin,is a receptacle
1951,heart,has atria
1952,motorcycle,is noisy
1953,lamppost,has a post
1954,scallop,is eaten
1955,cockroach,has a head
1956,mattress,is used to make beds
1957,wine,has tannins
1958,caribou,hunted by people
1959,bus,requires gasoline
1960,lettuce,grows on trees
1961,feather,is a part of a bird
1962,fork,used with knives
1963,finger,is dextrous
1964,snowmobile,is used by people
1965,tyre,is sold
1966,blender,used for chopping food
1967,hawk,is a bird of prey
1968,slicer,is used to cut meat
1969,kale,is sold at markets
1970,thumb,does break
1971,gate,has a lock
1972,hyena,does eat
1973,drawer,is a place to put things
1974,barge,is slow
1975,peach,is furry/fuzzy
1976,blender,is a kitchen appliance
1977,goalpost,has goals
1978,buckle,is used by animals
1979,blueberry,is used for jam
1980,hoodie,is associated with thugs
1981,rickshaw,is a vehicle
1982,porcupine,eats fruit
1983,butter,is used to make dough
1984,christmas_tree,has branches
1985,nightshirt,is long
1986,satchel,is a bag
1987,projector,has a light inside
1988,badger,is found in the forest
1989,bread,is round
1990,pocketknife,is found in pockets
1991,trout,is alive
1992,music_box,is found in homes
1993,radio,is connected to the internet
1994,couch,furniture
1995,banjo,is musical
1996,dress,is worn at funerals
1997,mouse1,lives in walls
1998,pencil,made of lead
1999,rock,is used as a building material
