,concept,question,id
641,gearshift,What are the properties of a gearshift?,gearshift
642,gel,What are the properties of a gel?,gel
643,gem,What are the properties of a gem?,gem
644,generator,What are the properties of a generator?,generator
645,gift,What are the properties of a gift?,gift
646,ginger,What are the properties of ginger (spice)?,ginger
647,gingerbread man,What are the properties of a gingerbread man?,gingerbread_man
648,giraffe,What are the properties of a giraffe?,giraffe
649,girl,What are the properties of a girl?,girl
651,glasses,What are the properties of glasses?,glasses
653,glove,What are the properties of a glove?,glove
654,glue,What are the properties of a glue?,glue
655,go-kart,What are the properties of a go-kart?,go-kart
656,goalpost,What are the properties of a goalpost?,goalpost
657,goat,What are the properties of a goat?,goat
658,goblet,What are the properties of a goblet?,goblet
659,goggles,What are the properties of goggles?,goggles
660,gold,What are the properties of a gold?,gold
661,goldfish,What are the properties of a goldfish?,goldfish
662,golf cart,What are the properties of a golf cart?,golf_cart
663,golf club,What are the properties of a golf club?,golf_club
664,gondola,What are the properties of a gondola?,gondola
665,gong,What are the properties of a gong?,gong
666,goose,What are the properties of a goose?,goose
667,gopher,What are the properties of a gopher?,gopher
668,gorilla,What are the properties of a gorilla?,gorilla
670,graffiti,What are the properties of a graffiti?,graffiti
671,grain,What are the properties of a grain?,grain
672,gramophone,What are the properties of a gramophone?,gramophone
673,granite,What are the properties of a granite?,granite
674,granola,What are the properties of a granola?,granola
675,grape,What are the properties of a grape?,grape
676,grapefruit,What are the properties of a grapefruit?,grapefruit
677,grapevine,What are the properties of a grapevine?,grapevine
678,grass,What are the properties of a grass?,grass
679,grasshopper,What are the properties of a grasshopper?,grasshopper
680,grate,What are the properties of a grate (covering)?,grate
681,grater,What are the properties of a grater?,grater
682,gravel,What are the properties of a gravel?,gravel
683,gravestone,What are the properties of a gravestone?,gravestone
684,gravy,What are the properties of a gravy?,gravy
685,green beans,What are the properties of green beans?,green_beans
686,grenade,What are the properties of a grenade?,grenade
687,grill,What are the properties of a grill?,grill
689,grinder,What are the properties of a grinder?,grinder
690,grits,What are the properties of grits?,grits
691,groundhog,What are the properties of a groundhog?,groundhog
692,guacamole,What are the properties of a guacamole?,guacamole
693,guardrail,What are the properties of a guardrail?,guardrail
694,guillotine,What are the properties of a guillotine?,guillotine
695,guinea pig,What are the properties of a guinea pig?,guinea_pig
696,guitar,What are the properties of a guitar?,guitar
697,gum,What are the properties of a gum?,gum
698,gumball,What are the properties of a gumball?,gumball
699,gumdrop,What are the properties of a gumdrop?,gumdrop
700,gun,What are the properties of a gun?,gun
701,gurney,What are the properties of a gurney?,gurney
702,gutter,What are the properties of a gutter?,gutter
703,gyro,What are the properties of a gyro?,gyro
704,gyroscope,What are the properties of a gyroscope?,gyroscope
705,hail,What are the properties of a hail?,hail
706,hair,What are the properties of a hair?,hair
707,hairbrush,What are the properties of a hairbrush?,hairbrush
708,hairdryer,What are the properties of a hairdryer?,hairdryer
709,hairnet,What are the properties of a hairnet?,hairnet
711,hairspray,What are the properties of a hairspray?,hairspray
712,ham,What are the properties of a ham?,ham
713,hamburger,What are the properties of a hamburger?,hamburger
714,hammer,What are the properties of a hammer?,hammer
715,hammock,What are the properties of a hammock?,hammock
716,hamster,What are the properties of a hamster?,hamster
717,hand,What are the properties of a hand (body part)?,hand
718,handbrake,What are the properties of a handbrake?,handbrake
719,handcuff,What are the properties of a handcuff?,handcuff
720,handkerchief,What are the properties of a handkerchief?,handkerchief
721,handle,What are the properties of a handle?,handle
723,handprint,What are the properties of a handprint?,handprint
724,hanger,What are the properties of a hanger?,hanger
725,hard disk,What are the properties of a hard disk?,hard_disk
726,harmonica,What are the properties of a harmonica?,harmonica
727,harness,"What are the properties of a harness (safety equipment, safety device)?",harness
728,harp,What are the properties of a harp?,harp
730,hat,What are the properties of a hat?,hat
731,hatbox,What are the properties of a hatbox?,hatbox
732,hatchet,What are the properties of a hatchet?,hatchet
733,hawk,What are the properties of a hawk?,hawk
734,hay,What are the properties of a hay?,hay
735,headband,What are the properties of a headband?,headband
736,headdress,What are the properties of a headdress?,headdress
737,headlamp,What are the properties of a headlamp?,headlamp
738,headlight,What are the properties of a headlight?,headlight
739,headphones,What are the properties of headphones?,headphones
740,headrest,What are the properties of a headrest?,headrest
741,headscarf,What are the properties of a headscarf?,headscarf
742,headset,What are the properties of a headset?,headset
743,hearing aid,What are the properties of a hearing aid?,hearing_aid
744,hearse,What are the properties of a hearse?,hearse
745,heater,What are the properties of a heater?,heater
746,hedge,What are the properties of a hedge?,hedge
747,hedgehog,What are the properties of a hedgehog?,hedgehog
748,helicopter,What are the properties of a helicopter?,helicopter
749,helmet,What are the properties of a helmet?,helmet
750,highchair,What are the properties of a highchair?,highchair
751,highlighter,What are the properties of a highlighter?,highlighter
752,hinge,What are the properties of a hinge?,hinge
753,hip,What are the properties of a hip?,hip
754,hippopotamus,What are the properties of a hippopotamus?,hippopotamus
755,hobbyhorse,What are the properties of a hobbyhorse?,hobbyhorse
756,hockey stick,What are the properties of a hockey stick?,hockey_stick
757,hoe,What are the properties of a hoe?,hoe
758,hole,What are the properties of a hole?,hole
759,holster,What are the properties of a holster (gun accessory)?,holster
760,home plate,What are the properties of a home plate?,home_plate
761,honey,What are the properties of a honey?,honey
762,honeycomb,What are the properties of a honeycomb?,honeycomb
764,hood,What are the properties of a hood?,hood
765,hoodie,What are the properties of a hoodie?,hoodie
766,hookah,What are the properties of a hookah?,hookah
767,hopscotch,What are the properties of a hopscotch?,hopscotch
768,horn,What are the properties of a horn (musical instrument)?,horn
769,horse,What are the properties of a horse?,horse
770,horseshoe,What are the properties of a horseshoe?,horseshoe
771,hose,What are the properties of a hose?,hose
772,hot chocolate,What are the properties of a hot chocolate?,hot_chocolate
773,hot tub,What are the properties of a hot tub?,hot_tub
774,hot-air balloon,What are the properties of a hot-air balloon?,hot-air_balloon
775,hot-water bottle,What are the properties of a hot-water bottle?,hot-water_bottle
776,hotdog,What are the properties of a hotdog?,hotdog
777,hotplate,What are the properties of a hotplate?,hotplate
778,hourglass,What are the properties of a hourglass?,hourglass
779,hovercraft,What are the properties of a hovercraft?,hovercraft
780,hubcap,What are the properties of a hubcap?,hubcap
781,hula hoop,What are the properties of a hula hoop?,hula_hoop
782,hummingbird,What are the properties of a hummingbird?,hummingbird
783,hummus,What are the properties of a hummus?,hummus
784,humvee,What are the properties of a humvee?,humvee
785,hydrant,What are the properties of a hydrant?,hydrant
786,hyena,What are the properties of a hyena?,hyena
787,ice,What are the properties of an ice?,ice
788,ice cream,What are the properties of an ice cream?,ice_cream
789,ice cube,What are the properties of an ice cube?,ice_cube
790,ice pack,What are the properties of an ice pack?,ice_pack
791,ice-cream cone,What are the properties of an ice-cream cone?,ice-cream_cone
792,icemaker,What are the properties of an icemaker?,icemaker
793,icepick,What are the properties of an icepick?,icepick
794,iceskate,What are the properties of an iceskate?,iceskate
795,icicle,What are the properties of an icicle?,icicle
796,iguana,What are the properties of an iguana?,iguana
797,incense,What are the properties of an incense?,incense
798,incubator,What are the properties of an incubator?,incubator
799,inhaler,What are the properties of an inhaler?,inhaler
800,ink,What are the properties of an ink?,ink
801,inkwell,What are the properties of an inkwell?,inkwell
802,insole,What are the properties of an insole?,insole
804,ironing board,What are the properties of an ironing board?,ironing_board
805,ivy,What are the properties of an ivy?,ivy
807,jacket,What are the properties of a jacket?,jacket
808,jackhammer,What are the properties of a jackhammer?,jackhammer
809,jalapeno,What are the properties of a jalapeno?,jalapeno
810,jam,What are the properties of a jam?,jam
811,jar,What are the properties of a jar?,jar
812,javelin,What are the properties of a javelin?,javelin
813,jeans,What are the properties of jeans?,jeans
814,jeep,What are the properties of a jeep?,jeep
815,jelly bean,What are the properties of a jelly bean?,jelly_bean
816,jellyfish,What are the properties of a jellyfish?,jellyfish
817,jersey,What are the properties of a jersey?,jersey
818,jet,What are the properties of a jet?,jet
819,jetski,What are the properties of a jetski?,jetski
820,jewel,What are the properties of a jewel?,jewel
821,jewelry,What are the properties of a jewelry?,jewelry
822,jigsaw puzzle,What are the properties of a jigsaw puzzle?,jigsaw_puzzle
823,joystick,What are the properties of a joystick?,joystick
824,jug,What are the properties of a jug?,jug
825,juice,What are the properties of a juice?,juice
826,jukebox,What are the properties of a jukebox?,jukebox
827,jump rope,What are the properties of a jump rope?,jump_rope
828,jumpsuit,What are the properties of a jumpsuit?,jumpsuit
829,kale,What are the properties of a kale?,kale
830,kaleidoscope,What are the properties of a kaleidoscope?,kaleidoscope
831,kangaroo,What are the properties of a kangaroo?,kangaroo
832,kayak,What are the properties of a kayak?,kayak
833,kazoo,What are the properties of a kazoo?,kazoo
834,kebab,What are the properties of a kebab?,kebab
835,keg,What are the properties of a keg?,keg
836,ketchup,What are the properties of a ketchup?,ketchup
837,kettle,What are the properties of a kettle?,kettle
838,key,What are the properties of a key?,key
840,keyhole,What are the properties of a keyhole?,keyhole
841,kilt,What are the properties of a kilt?,kilt
842,kimono,What are the properties of a kimono?,kimono
843,kite,What are the properties of a kite?,kite
844,kitten,What are the properties of a kitten?,kitten
845,kiwi,What are the properties of a kiwi (fruit)?,kiwi
846,knee,What are the properties of a knee?,knee
847,kneepad,What are the properties of a kneepad?,kneepad
848,knife,What are the properties of a knife?,knife
849,knitting,What are the properties of a knitting?,knitting
850,knitting needle,What are the properties of a knitting needle?,knitting_needle
851,knob,What are the properties of a knob?,knob
852,knot,What are the properties of a knot?,knot
853,koala,What are the properties of a koala?,koala
854,lab coat,What are the properties of a lab coat?,lab_coat
855,ladder,What are the properties of a ladder?,ladder
856,ladle,What are the properties of a ladle?,ladle
857,ladybug,What are the properties of a ladybug?,ladybug
858,lamb,What are the properties of a lamb?,lamb
859,lamb chop,What are the properties of a lamb chop?,lamb_chop
860,lamp,What are the properties of a lamp?,lamp
861,lamppost,What are the properties of a lamppost?,lamppost
862,lampshade,What are the properties of a lampshade?,lampshade
863,landmine,What are the properties of a landmine?,landmine
864,lantern,What are the properties of a lantern?,lantern
865,lanyard,What are the properties of a lanyard (accessory)?,lanyard
866,laptop,What are the properties of a laptop?,laptop
867,lasagna,What are the properties of a lasagna?,lasagna
868,laser pointer,What are the properties of a laser pointer?,laser_pointer
869,latch,What are the properties of a latch?,latch
870,latte,What are the properties of a latte?,latte
871,laundry basket,What are the properties of a laundry basket?,laundry_basket
872,lava,What are the properties of a lava?,lava
873,lavender,What are the properties of a lavender?,lavender
874,lawnmower,What are the properties of a lawnmower?,lawnmower
875,leaf,"What are the properties of a leaf (part of plant, part of tree)?",leaf
876,leash,What are the properties of a leash?,leash
877,lectern,What are the properties of a lectern?,lectern
878,leech,What are the properties of a leech?,leech
879,leek,What are the properties of a leek?,leek
880,leg,What are the properties of a leg?,leg
881,leggings,What are the properties of leggings?,leggings
882,lego,What are the properties of a lego?,lego
883,lemon,What are the properties of a lemon?,lemon
884,lemonade,What are the properties of a lemonade?,lemonade
885,lens,What are the properties of a lens?,lens
886,leopard,What are the properties of a leopard?,leopard
887,leotard,What are the properties of a leotard?,leotard
888,letter opener,What are the properties of a letter opener?,letter_opener
889,lettuce,What are the properties of a lettuce?,lettuce
890,license plate,What are the properties of a license plate?,license_plate
891,licorice,What are the properties of a licorice?,licorice
892,lid,What are the properties of a lid?,lid
893,life jacket,What are the properties of a life jacket?,life_jacket
895,light switch,What are the properties of a light switch?,light_switch
896,lightbulb,What are the properties of a lightbulb?,lightbulb
897,lighter,What are the properties of a lighter?,lighter
898,lightning bug,What are the properties of a lightning bug?,lightning_bug
899,lime,What are the properties of a lime?,lime
900,limousine,What are the properties of a limousine?,limousine
901,lingerie,What are the properties of a lingerie?,lingerie
902,lion,What are the properties of a lion?,lion
903,lip balm,What are the properties of a lip balm?,lip_balm
904,lip gloss,What are the properties of a lip gloss?,lip_gloss
905,lipstick,What are the properties of a lipstick?,lipstick
906,lizard,What are the properties of a lizard?,lizard
907,llama,What are the properties of a llama?,llama
908,lobster,What are the properties of a lobster?,lobster
909,lock,What are the properties of a lock?,lock
910,locker,What are the properties of a locker?,locker
911,locket,What are the properties of a locket?,locket
912,log,What are the properties of a log?,log
913,loincloth,What are the properties of a loincloth?,loincloth
914,lollipop,What are the properties of a lollipop?,lollipop
915,loom,What are the properties of a loom?,loom
916,loveseat,What are the properties of a loveseat?,loveseat
917,luggage,What are the properties of a luggage?,luggage
918,lumber,What are the properties of a lumber?,lumber
919,lunchbox,What are the properties of a lunchbox?,lunchbox
920,macadamia,What are the properties of a macadamia?,macadamia
921,macaroni,What are the properties of a macaroni?,macaroni
922,machete,What are the properties of a machete?,machete
923,machine gun,What are the properties of a machine gun?,machine_gun
924,maggot,What are the properties of a maggot?,maggot
925,magnet,What are the properties of a magnet?,magnet
926,magnifier,What are the properties of a magnifier?,magnifier
927,magnifying glass,What are the properties of a magnifying glass?,magnifying_glass
928,mail,What are the properties of a mail?,mail
929,mailbox,What are the properties of a mailbox?,mailbox
930,makeup,What are the properties of a makeup?,makeup
931,mallet,What are the properties of a mallet?,mallet
932,man,What are the properties of a man?,man
933,manatee,What are the properties of a manatee?,manatee
934,mandolin,What are the properties of a mandolin?,mandolin
935,mango,What are the properties of a mango?,mango
936,manhole,What are the properties of a manhole?,manhole
937,mannequin,What are the properties of a mannequin?,mannequin
939,map,What are the properties of a map?,map
940,maple syrup,What are the properties of a maple syrup?,maple_syrup
941,marble,What are the properties of a marble?,marble
942,margarita,What are the properties of a margarita?,margarita
943,marijuana,What are the properties of a marijuana?,marijuana
944,marker,What are the properties of a marker?,marker
945,marmalade,What are the properties of a marmalade?,marmalade
946,marshmallow,What are the properties of a marshmallow?,marshmallow
947,mascara,What are the properties of a mascara?,mascara
948,mashed potato,What are the properties of a mashed potato?,mashed_potato
949,mask,What are the properties of a mask?,mask
952,match,What are the properties of a match?,match
953,matchbox,What are the properties of a matchbox?,matchbox
954,mattress,What are the properties of a mattress?,mattress
955,measuring cup,What are the properties of a measuring cup?,measuring_cup
956,meat,What are the properties of a meat?,meat
957,meat grinder,What are the properties of a meat grinder?,meat_grinder
958,meatball,What are the properties of a meatball?,meatball
959,meatloaf,What are the properties of a meatloaf?,meatloaf
960,medal,What are the properties of a medal?,medal
961,meerkat,What are the properties of a meerkat?,meerkat
962,megaphone,What are the properties of a megaphone?,megaphone
963,melon,What are the properties of a melon?,melon
964,memory stick,What are the properties of a memory stick?,memory_stick
965,metal detector,What are the properties of a metal detector?,metal_detector
966,metronome,What are the properties of a metronome?,metronome
967,microphone,What are the properties of a microphone?,microphone
968,microscope,What are the properties of a microscope?,microscope
969,microwave,What are the properties of a microwave?,microwave
970,milk,What are the properties of a milk?,milk
971,milkshake,What are the properties of a milkshake?,milkshake
972,minivan,What are the properties of a minivan?,minivan
973,mint,What are the properties of a mint?,mint
974,mirror,What are the properties of a mirror?,mirror
975,missile,What are the properties of a missile?,missile
976,mistletoe,What are the properties of a mistletoe?,mistletoe
977,mitten,What are the properties of a mitten?,mitten
980,modem,What are the properties of a modem?,modem
981,mole,What are the properties of a mole?,mole
982,money,What are the properties of a money?,money
983,mongoose,What are the properties of a mongoose?,mongoose
984,monkey,What are the properties of a monkey?,monkey
985,moose,What are the properties of a moose?,moose
986,mop,What are the properties of a mop?,mop
987,mosquito,What are the properties of a mosquito?,mosquito
988,mosquito net,What are the properties of a mosquito net?,mosquito_net
989,moss,What are the properties of a moss?,moss
990,moth,What are the properties of a moth?,moth
991,motherboard,What are the properties of a motherboard?,motherboard
992,motorcycle,What are the properties of a motorcycle?,motorcycle
993,mousepad,What are the properties of a mousepad?,mousepad
994,mousetrap,What are the properties of a mousetrap?,mousetrap
995,mousse,What are the properties of a mousse?,mousse
996,mouth,What are the properties of a mouth?,mouth
998,mud,What are the properties of a mud?,mud
999,muff,What are the properties of a muff?,muff
1000,muffin,What are the properties of a muffin?,muffin
1001,mug,What are the properties of a mug?,mug
1002,mulberry,What are the properties of a mulberry?,mulberry
1003,mulch,What are the properties of a mulch?,mulch
1005,mushroom,What are the properties of a mushroom?,mushroom
1006,music box,What are the properties of a music box?,music_box
1007,mussel,What are the properties of a mussel?,mussel
1008,mustache,What are the properties of a mustache?,mustache
1009,mustard,What are the properties of a mustard?,mustard
1010,nacho,What are the properties of a nacho?,nacho
1012,nail clippers,What are the properties of nail clippers?,nail_clippers
1013,nail file,What are the properties of a nail file?,nail_file
1014,nail polish,What are the properties of a nail polish?,nail_polish
1015,napkin,What are the properties of a napkin?,napkin
1016,napkin ring,What are the properties of a napkin ring?,napkin_ring
1017,navel,What are the properties of a navel?,navel
1018,neck,What are the properties of a neck?,neck
1019,necklace,What are the properties of a necklace?,necklace
1020,needle,What are the properties of a needle?,needle
1021,nest,What are the properties of a nest?,nest
1022,net,What are the properties of a net?,net
1023,nightshirt,What are the properties of a nightshirt?,nightshirt
1024,nightstand,What are the properties of a nightstand?,nightstand
1026,noodle,What are the properties of a noodle?,noodle
1027,noose,What are the properties of a noose?,noose
1028,nose,What are the properties of a nose?,nose
1029,notebook,"What are the properties of a notebook (office supply, school supply)?",notebook
1030,notepad,What are the properties of a notepad?,notepad
1031,nut,What are the properties of a nut?,nut
1033,oar,What are the properties of an oar?,oar
1034,oatmeal,What are the properties of an oatmeal?,oatmeal
1035,octopus,What are the properties of an octopus?,octopus
1036,odometer,What are the properties of an odometer?,odometer
1037,oil,What are the properties of an oil?,oil
1038,oilcan,What are the properties of an oilcan?,oilcan
1039,okra,What are the properties of an okra?,okra
1040,olive,What are the properties of an olive?,olive
1041,omelet,What are the properties of an omelet?,omelet
1042,onion,What are the properties of an onion?,onion
1043,orange,What are the properties of an orange?,orange
1044,orange rind,What are the properties of an orange rind?,orange_rind
1045,orangutan,What are the properties of an orangutan?,orangutan
1046,orchid,What are the properties of an orchid?,orchid
1048,origami,What are the properties of an origami?,origami
1049,ostrich,What are the properties of an ostrich?,ostrich
1050,otter,What are the properties of an otter?,otter
1051,ottoman,What are the properties of an ottoman?,ottoman
1052,outfit,What are the properties of an outfit?,outfit
1053,outlet,What are the properties of an outlet?,outlet
1054,oven,What are the properties of an oven?,oven
1055,overalls,What are the properties of overalls?,overalls
1056,owl,What are the properties of an owl?,owl
1057,oyster,What are the properties of an oyster?,oyster
1058,pacifier,What are the properties of a pacifier?,pacifier
1059,paddle,What are the properties of a paddle?,paddle
1060,padlock,What are the properties of a padlock?,padlock
1061,paint,What are the properties of a paint?,paint
1062,paintbrush,What are the properties of a paintbrush?,paintbrush
1063,painting,What are the properties of a painting?,painting
1064,pajamas,What are the properties of pajamas?,pajamas
1065,palette,What are the properties of a palette?,palette
1066,pallet,What are the properties of a pallet?,pallet
1067,palm tree,What are the properties of a palm tree?,palm_tree
1068,pan,What are the properties of a pan?,pan
1069,pancake,What are the properties of a pancake?,pancake
1070,panda,What are the properties of a panda?,panda
1071,panther,What are the properties of a panther?,panther
1072,panties,What are the properties of panties?,panties
1073,pants,What are the properties of pants?,pants
1074,pantsuit,What are the properties of a pantsuit?,pantsuit
1075,pantyhose,What are the properties of a pantyhose?,pantyhose
1076,papaya,What are the properties of a papaya?,papaya
1077,paper,What are the properties of a paper?,paper
1078,paper bag,What are the properties of a paper bag?,paper_bag
1079,paper plate,What are the properties of a paper plate?,paper_plate
1080,paper towel,What are the properties of a paper towel?,paper_towel
1081,paperclip,What are the properties of a paperclip?,paperclip
1082,paperweight,What are the properties of a paperweight?,paperweight
1083,parachute,What are the properties of a parachute?,parachute
1084,parfait,What are the properties of a parfait?,parfait
1085,parking meter,What are the properties of a parking meter?,parking_meter
1086,parrot,What are the properties of a parrot?,parrot
1087,parsley,What are the properties of a parsley?,parsley
1088,pasta,What are the properties of a pasta?,pasta
1089,pastry,What are the properties of a pastry?,pastry
1091,patty,What are the properties of a patty?,patty
1092,payphone,What are the properties of a payphone?,payphone
1093,pea,What are the properties of a pea?,pea
1094,peach,What are the properties of a peach?,peach
1095,peacock,What are the properties of a peacock?,peacock
1096,peanut,What are the properties of a peanut?,peanut
1097,peanut butter,What are the properties of a peanut butter?,peanut_butter
1098,pear,What are the properties of a pear?,pear
1099,pearl,What are the properties of a pearl?,pearl
1100,pecan,What are the properties of a pecan?,pecan
1101,pedal,What are the properties of a pedal?,pedal
1102,pedometer,What are the properties of a pedometer?,pedometer
1103,peeler,What are the properties of a peeler?,peeler
1104,peg,What are the properties of a peg (wooden fastener)?,peg
1105,pelican,What are the properties of a pelican?,pelican
1106,pen,What are the properties of a pen?,pen
1107,pencil,What are the properties of a pencil?,pencil
1108,pencil sharpener,What are the properties of a pencil sharpener?,pencil_sharpener
1109,pendulum,What are the properties of a pendulum?,pendulum
1110,penguin,What are the properties of a penguin?,penguin
1111,penholder,What are the properties of a penholder?,penholder
1112,penlight,What are the properties of a penlight?,penlight
1113,pennant,What are the properties of a pennant?,pennant
1114,pepper mill,What are the properties of a pepper mill?,pepper_mill
1115,peppermint,What are the properties of a peppermint (candy)?,peppermint
1116,pepperoni,What are the properties of a pepperoni (meat)?,pepperoni
1117,perfume,What are the properties of a perfume?,perfume
1118,periscope,What are the properties of a periscope?,periscope
1119,pesto,What are the properties of a pesto?,pesto
1120,pet food,What are the properties of a pet food?,pet_food
1121,petal,What are the properties of a petal?,petal
1122,petri dish,What are the properties of a petri dish?,petri_dish
1123,pheasant,What are the properties of a pheasant?,pheasant
1124,phone,What are the properties of a phone?,phone
1125,phone booth,What are the properties of a phone booth?,phone_booth
1126,photo booth,What are the properties of a photo booth?,photo_booth
1127,photograph,What are the properties of a photograph?,photograph
1128,piano,What are the properties of a piano?,piano
1129,pickax,What are the properties of a pickax?,pickax
1130,pickle,What are the properties of a pickle?,pickle
1131,pie,What are the properties of a pie?,pie
1132,piecrust,What are the properties of a piecrust?,piecrust
1133,pig,What are the properties of a pig?,pig
1134,pigeon,What are the properties of a pigeon?,pigeon
1135,piggy bank,What are the properties of a piggy bank?,piggy_bank
1136,piglet,What are the properties of a piglet?,piglet
1137,pill,What are the properties of a pill?,pill
1138,pillbox,What are the properties of a pillbox?,pillbox
1139,pillow,What are the properties of a pillow?,pillow
1141,pinball,What are the properties of a pinball?,pinball
1142,pincushion,What are the properties of a pincushion?,pincushion
1143,pine needle,What are the properties of a pine needle?,pine_needle
1144,pine tree,What are the properties of a pine tree?,pine_tree
1145,pineapple,What are the properties of a pineapple?,pineapple
1146,pinecone,What are the properties of a pinecone?,pinecone
1147,ping-pong table,What are the properties of a ping-pong table?,ping-pong_table
1148,pinwheel,What are the properties of a pinwheel?,pinwheel
1149,pistachio,What are the properties of a pistachio?,pistachio
1150,pita,What are the properties of a pita?,pita
1151,pitcher,What are the properties of a pitcher?,pitcher
1152,pitchfork,What are the properties of a pitchfork?,pitchfork
1153,pizza,What are the properties of a pizza?,pizza
1154,place mat,What are the properties of a place mat?,place_mat
1155,plant,What are the properties of a plant?,plant
1156,plaster cast,What are the properties of a plaster cast?,plaster_cast
1157,plastic film,What are the properties of a plastic film?,plastic_film
1159,platypus,What are the properties of a platypus?,platypus
1160,playing card,What are the properties of a playing card?,playing_card
1161,playpen,What are the properties of a playpen?,playpen
1162,pliers,What are the properties of pliers?,pliers
1163,plug,What are the properties of a plug?,plug
1164,plum,What are the properties of a plum?,plum
1165,plunger,What are the properties of a plunger?,plunger
1166,pocket,What are the properties of a pocket?,pocket
1167,pocket watch,What are the properties of a pocket watch?,pocket_watch
1168,pocketknife,What are the properties of a pocketknife?,pocketknife
1169,pogo stick,What are the properties of a pogo stick?,pogo_stick
1170,poinsettia,What are the properties of a poinsettia?,poinsettia
1172,polar bear,What are the properties of a polar bear?,polar_bear
1173,polaroid,What are the properties of a polaroid?,polaroid
1174,pole,What are the properties of a pole?,pole
1175,police car,What are the properties of a police car?,police_car
1177,polo shirt,What are the properties of a polo shirt?,polo_shirt
1178,polygraph,What are the properties of a polygraph?,polygraph
1179,pom-pom,What are the properties of a pom-pom?,pom-pom
1180,pomegranate,What are the properties of a pomegranate?,pomegranate
1181,pony,What are the properties of a pony?,pony
1182,poodle,What are the properties of a poodle?,poodle
1183,pool table,What are the properties of a pool table?,pool_table
1184,popcorn,What are the properties of a popcorn?,popcorn
1185,poppy,What are the properties of a poppy?,poppy
1186,popsicle,What are the properties of a popsicle?,popsicle
1187,porcupine,What are the properties of a porcupine?,porcupine
1188,porthole,What are the properties of a porthole?,porthole
1189,possum,What are the properties of a possum?,possum
1190,poster,What are the properties of a poster?,poster
1191,pot,What are the properties of a pot?,pot
1192,potato,What are the properties of a potato?,potato
1193,potholder,What are the properties of a potholder?,potholder
1194,pothole,What are the properties of a pothole?,pothole
1195,potpie,What are the properties of a potpie?,potpie
1196,potpourri,What are the properties of a potpourri?,potpourri
1197,powder,What are the properties of a powder?,powder
1198,power line,What are the properties of a power line?,power_line
1199,praying mantis,What are the properties of a praying mantis?,praying_mantis
1200,pretzel,What are the properties of a pretzel?,pretzel
1201,printer,What are the properties of a printer?,printer
1202,prism,What are the properties of a prism?,prism
1203,projector,What are the properties of a projector?,projector
1204,propeller,What are the properties of a propeller?,propeller
1205,prune,What are the properties of a prune?,prune
1206,puck,What are the properties of a puck?,puck
1207,pudding,What are the properties of a pudding (dessert)?,pudding
1208,puddle,What are the properties of a puddle?,puddle
1209,puffin,What are the properties of a puffin?,puffin
1210,pug,What are the properties of a pug?,pug
1211,pulley,What are the properties of a pulley?,pulley
1212,pulpit,What are the properties of a pulpit?,pulpit
1213,pump,What are the properties of a pump?,pump
1214,pumpkin,What are the properties of a pumpkin?,pumpkin
1215,punching bag,What are the properties of a punching bag?,punching_bag
1216,puppet,What are the properties of a puppet?,puppet
1217,puppy,What are the properties of a puppy?,puppy
1218,purse,What are the properties of a purse?,purse
1219,quad,What are the properties of a quad?,quad
1220,quesadilla,What are the properties of a quesadilla?,quesadilla
1221,quiche,What are the properties of a quiche?,quiche
1222,quill,What are the properties of a quill?,quill
1223,quilt,What are the properties of a quilt?,quilt
1224,rabbit,What are the properties of a rabbit?,rabbit
1225,raccoon,What are the properties of a raccoon?,raccoon
1226,racehorse,What are the properties of a racehorse?,racehorse
1227,racket,What are the properties of a racket?,racket
1228,radar,What are the properties of a radar?,radar
1230,radio,What are the properties of a radio?,radio
1231,radish,What are the properties of a radish?,radish
1232,raft,What are the properties of a raft?,raft
1233,rag,What are the properties of a rag?,rag
1234,railing,What are the properties of a railing?,railing
1235,rain gauge,What are the properties of a rain gauge?,rain_gauge
1236,raincoat,What are the properties of a raincoat?,raincoat
1237,raisin,What are the properties of a raisin?,raisin
1238,rake,What are the properties of a rake?,rake
1239,ram,What are the properties of a ram (animal)?,ram
1241,raspberry,What are the properties of a raspberry?,raspberry
1242,rat,What are the properties of a rat?,rat
1243,ratchet,What are the properties of a ratchet?,ratchet
1244,rattle,What are the properties of a rattle?,rattle
1245,rattlesnake,What are the properties of a rattlesnake?,rattlesnake
1246,ravioli,What are the properties of a ravioli?,ravioli
1247,razor,What are the properties of a razor?,razor
1248,razor blade,What are the properties of a razor blade?,razor_blade
1249,ready meal,What are the properties of a ready meal?,ready_meal
1250,rearview mirror,What are the properties of a rearview mirror?,rearview_mirror
1251,recliner,What are the properties of a recliner?,recliner
1252,record,What are the properties of a record?,record
1253,record player,What are the properties of a record player?,record_player
1254,recorder,What are the properties of a recorder (musical instrument)?,recorder
1255,red carpet,What are the properties of a red carpet?,red_carpet
1257,refrigerator,What are the properties of a refrigerator?,refrigerator
1258,reindeer,What are the properties of a reindeer?,reindeer
1259,remote control,What are the properties of a remote control?,remote_control
1261,revolver,What are the properties of a revolver?,revolver
1262,revolving door,What are the properties of a revolving door?,revolving_door
1263,rhinoceros,What are the properties of a rhinoceros?,rhinoceros
1264,rhubarb,What are the properties of a rhubarb?,rhubarb
1265,ribbon,What are the properties of a ribbon?,ribbon
1266,rice,What are the properties of a rice?,rice
1267,rickshaw,What are the properties of a rickshaw?,rickshaw
