preprocessed_feature,concept_id,run_nr,amount_runs_feature_occured,amount_runs_feature_occured_within_concept,decoded_feature
it is found in north america,chipmunk,27,5,3,is found in north america
it eats nuts and seeds,chipmunk,27,10,7,eats nuts and seeds
it is agile,chipmunk,27,10,6,is agile
it can climb trees,chipmunk,27,10,3,climbs trees
it has cheek pouches for storing food,chipmunk,27,1,1,has cheek pouches for storing food
it contains tobacco,cigarette,27,8,8,contains tobacco
it is addictive,cigarette,27,10,10,is addictive
it is harmful to health,cigarette,27,7,7,is harmful to health
it produces smoke,cigarette,27,9,9,produces smoke
it has a filter,cigarette,27,10,10,has a filter
it is cylindrical,cigarette,27,10,8,is cylindrical
it is wrapped in paper,cigarette,27,9,8,is wrapped in paper
it contains nicotine,cigarette,27,10,10,contains nicotine
it can cause lung cancer,cigarette,27,1,1,causes lung cancer
it is a legal product for adults,cigarette,27,1,1,is a legal product for adults
it is often smoked for stress relief or as a habit,cigarette,27,1,1,is often smoked for stress relief or as a habit
it can cause respiratory problems,cigarette,27,1,1,causes respiratory problems
it is cylindrical,cigar,27,10,10,is cylindrical
it is made of tobacco,cigar,27,9,9,is made of tobacco
it is wrapped in a leaf,cigar,27,2,2,is wrapped in a leaf
it is smoked,cigar,27,9,9,is smoked
it produces smoke,cigar,27,9,7,produces smoke
it has a distinct smell,cigar,27,4,3,has a distinct smell
it is brown,cigar,27,10,8,is brown
it can be hand-rolled or machine-rolled,cigar,27,2,2,is hand - rolled or machine - rolled
it comes in various sizes and shapes,cigar,27,10,3,comes in various sizes and shapes
it has a tapered end called the head,cigar,27,1,1,has a tapered end called the head
it is made of metal,chisel,27,10,10,is made of metal
it has a sharp edge,chisel,27,10,8,has a sharp edge
it is used for carving,chisel,27,7,7,is used to carve
it is used for cutting,chisel,27,10,2,is used to cut
it is used for shaping,chisel,27,2,2,is used to shape
it is used in woodworking,chisel,27,10,5,is used in woodworking
it is used in masonry,chisel,27,3,3,is used in masonry
it is used in sculpture,chisel,27,1,1,is used in sculpture
it has a handle,chisel,27,10,4,has a handle
it comes in various sizes and shapes,chisel,27,10,8,comes in various sizes and shapes
it is a hand tool,chisel,27,8,8,is a hand tool
it is a mollusk,clam,27,10,10,is a mollusk
it has a shell,clam,27,10,10,has a shell
it lives in water,clam,27,10,9,lives in water
it is edible,clam,27,10,10,is edible
it is a bivalve,clam,27,8,8,is a bivalve
it burrows in sand or mud,clam,27,10,10,burrows in mud
it burrows in sand or mud,clam,27,10,10,burrows in sand
it filters water for food,clam,27,5,5,filters water for food
it is used in seafood dishes,clam,27,3,2,is used in seafood dishes
it has a soft body,clam,27,10,4,has a soft body
it can be found along coastlines,clam,27,1,1,is found along coastlines
it is a source of protein,clam,27,5,1,is a source of protein
it is worn around the shoulders,cloak,27,10,3,is worn around the shoulders
it provides warmth,cloak,27,10,7,provides warmth
it is a piece of clothing,cloak,27,9,1,is a piece of clothing
it can be made of various materials,cloak,27,10,3,is made of various materials
it is long,cloak,27,10,9,is long
it can have a hood,cloak,27,10,6,has a hood
it covers the upper body,cloak,27,10,2,covers the upper body
it can be used for concealment,cloak,27,3,3,is used for concealment
it can be worn for fashion or function,cloak,27,2,2,is worn for fashion
it can be worn for fashion or function,cloak,27,2,2,is worn for function
it can have fasteners or clasps,cloak,27,1,1,has fasteners
it can have fasteners or clasps,cloak,27,1,1,has a clasp
it is a woodwind instrument,clarinet,27,10,10,is a woodwind instrument
it has a cylindrical bore,clarinet,27,9,5,has a cylindrical bore
it is made of wood or plastic,clarinet,27,10,10,is made of wood
it is made of wood or plastic,clarinet,27,10,10,is made of plastic
it has a mouthpiece with a single reed,clarinet,27,1,1,has a mouthpiece with a single reed
it has keys and holes to change pitch,clarinet,27,1,1,has keys and holes to change pitch
it is played by blowing air through the mouthpiece,clarinet,27,2,2,is played by blowing air through the mouthpiece
it has a warm and mellow tone,clarinet,27,2,2,has a warm and mellow tone
it is used in orchestras and bands,clarinet,27,10,6,is used in bands
it is used in orchestras and bands,clarinet,27,10,6,is used in orchestras
it is worn on the upper body,coat,27,8,4,is worn on the upper body
it provides warmth,coat,27,10,5,provides warmth
it has sleeves,coat,27,10,9,has sleeves
it is made of fabric,coat,27,10,7,is made of fabric
it can be buttoned or zipped,coat,27,2,2,is buttoned or zipped
it comes in various sizes,coat,27,10,5,comes in various sizes
it comes in various colors,coat,27,10,1,comes in various colors
it can have a hood,coat,27,10,1,has a hood
it can have pockets,coat,27,10,7,has pockets
it can be waterproof,coat,27,10,3,is waterproof
it can be insulated,coat,27,4,2,is insulated
it tells time,clock,27,9,9,tells time
it has hands,clock,27,9,9,has hands
it has numbers,clock,27,9,8,has numbers
it has a face,clock,27,9,8,has a face
it can be analog or digital,clock,27,10,10,is digital
it can be analog or digital,clock,27,10,10,is analog
it can be wall-mounted or free-standing,clock,27,3,3,is wall - mounted or free - standing
it may have an alarm function,clock,27,4,4,may have an alarm function
it may have a second hand,clock,27,2,2,may have a second hand
it requires a power source (batteries or electricity),clock,27,4,2,requires a power source
it can be decorative,clock,27,10,3,is decorative
it is round,coin,27,10,10,is round
it is flat,coin,27,10,5,is flat
it is made of metal,coin,27,10,10,is made of metal
it has a denomination,coin,27,6,6,has a denomination
it has a design,coin,27,2,2,has designs
it has an obverse side,coin,27,1,1,has an obverse side
it has a reverse side,coin,27,1,1,has a reverse side
it is used as currency,coin,27,8,8,is used as currency
it can be collected,coin,27,8,8,is collected
it can be shiny,coin,27,5,3,is shiny
it can be tarnished,coin,27,1,1,is tarnished
it is small,coin,27,10,8,is small
it is portable,coin,27,10,3,is portable
it is an insect,cockroach,27,10,10,is an insect
it has six legs,cockroach,27,10,10,has six legs
it is a pest,cockroach,27,10,7,is a pest
it is nocturnal,cockroach,27,10,10,is nocturnal
it is resilient,cockroach,27,8,8,is resilient
it has wings,cockroach,27,10,9,has wings
it can fly,cockroach,27,10,2,flies
it is brown or black,cockroach,27,10,5,is brown
it is brown or black,cockroach,27,10,5,is black
it has antennae,cockroach,27,10,9,has antennae
it reproduces quickly,cockroach,27,9,9,reproduces quickly
it can survive without a head for some time,cockroach,27,2,2,survives without a head for some time
it is omnivorous,cockroach,27,10,2,is omnivorous
it can spread diseases,cockroach,27,7,5,spreuns diseases
it is hard,coconut,27,9,3,is hard
it has a shell,coconut,27,10,3,has a shell
it grows on trees,coconut,27,10,3,grows on trees
it is brown,coconut,27,10,9,is brown
it is a fruit,coconut,27,10,10,is a fruit
it contains water,coconut,27,6,5,contains water
it contains coconut milk,coconut,27,1,1,contains coconut milk
it has white flesh,coconut,27,9,9,has white flesh
it is edible,coconut,27,10,7,is edible
it comes from tropical climates,coconut,27,1,1,comes from tropical climates
it is used in cooking and baking,coconut,27,10,4,is used in baking
it is used in cooking and baking,coconut,27,10,8,is used in cooking
it is used for grooming,comb,27,9,8,is used to groom
it is made of plastic or metal,comb,27,10,7,is made of metal
it is made of plastic or metal,comb,27,10,9,is made of plastic
it has teeth,comb,27,10,10,has teeth
it is used for styling hair,comb,27,7,5,is used for styling hair
it is used for detangling hair,comb,27,4,3,is used to detangle hair
it is portable,comb,27,10,9,is portable
it is lightweight,comb,27,10,7,is lightweight
it comes in various sizes and shapes,comb,27,10,6,comes in various sizes and shapes
it can have fine or wide teeth,comb,27,3,3,has fine or wide teeth
it can be used on wet or dry hair,comb,27,6,3,is used on wet or dry hair
it is buoyant,cork,27,10,10,is buoyant
it is lightweight,cork,27,10,10,is lightweight
it is made from cork oak tree bark,cork,27,4,4,is made from cork oak tree bark
it is used as a bottle stopper,cork,27,5,5,is used as a bottle stopper
it is elastic,cork,27,10,10,is elastic
it is compressible,cork,27,10,10,is compressible
it is water-resistant,cork,27,4,4,is water - resistant
it is a natural material,cork,27,8,8,is a material
it is a natural material,cork,27,9,9,is natural
it is a natural material,cork,27,8,8,is a natural material
it is biodegradable,cork,27,3,3,is biodegradable
it has insulating properties,cork,27,4,4,has insulating properties
it can be recycled,cork,27,2,2,is recycled
it has a unique texture,cork,27,2,1,has a unique texture
it is used to open bottles,corkscrew,27,3,3,is used to open bottles
it has a handle,corkscrew,27,10,10,has a handle
it is made of metal,corkscrew,27,10,10,is made of metal
it has a helical screw,corkscrew,27,1,1,has a helical screw
it is a tool,corkscrew,27,10,7,is a tool
it is portable,corkscrew,27,10,9,is portable
it is small,corkscrew,27,10,9,is small
it has a sharp point,corkscrew,27,9,5,has a sharp point
it can have a lever or wing design,corkscrew,27,3,3,has a lever or wing design
it can have additional features like a bottle opener or foil cutter,corkscrew,27,4,4,has additional features like a bottle opener or foil cutter
it is durable,corkscrew,27,10,1,is durable
it is a mammal,cow,27,10,10,is a mammal
it is a domesticated animal,cow,27,9,4,is a domesticated animal
it is a domesticated animal,cow,27,10,4,is an animal
it is a domesticated animal,cow,27,10,10,is domesticated
it has hooves,cow,27,10,10,has hooves
it is herbivorous,cow,27,10,8,is herbivorous
it is used for milk production,cow,27,5,2,is used for milk production
it is used for meat production (beef),cow,27,6,2,is used for meat production
it has a tail,cow,27,10,9,has a tail
it has ears,cow,27,7,4,has ears
it has a nose,cow,27,3,1,has a nose
it has udders,cow,27,6,6,has udders
it chews cud,cow,27,2,2,chews cud
it is a cereal grain,corn,27,6,6,is a cereal grain
it is grown on stalks,corn,27,1,1,is grown on stalks
it has leaves,corn,27,10,4,has leaves
it is yellow,corn,27,10,9,is yellow
it is eaten as a vegetable,corn,27,1,1,is eaten as a vegetable
it is used for making cornmeal and cornstarch,corn,27,2,2,is used to make cornstarch
it is used for making cornmeal and cornstarch,corn,27,2,2,is used to make cornmeal
it has kernels,corn,27,7,7,has kernels
it has a cob,corn,27,3,3,has a cob
it is used for making popcorn,corn,27,1,1,is used to make popcorn
it is used for making ethanol,corn,27,1,1,is used to make ethanol
it is used for animal feed,corn,27,5,5,is used for animal feed
it is colorful,crayon,27,10,8,is colorful
it is made of wax,crayon,27,10,10,is made of wax
it is used for drawing,crayon,27,10,10,is used to draw
it is used for coloring,crayon,27,4,4,is used to color
it is cylindrical,crayon,27,10,7,is cylindrical
it has a paper label,crayon,27,3,3,has a paper label
it comes in various colors,crayon,27,10,7,comes in various colors
it is non-toxic,crayon,27,10,10,is non - toxic
it is used by children,crayon,27,10,8,is used by children
it can be broken easily,crayon,27,2,2,is broken easily
it leaves marks on surfaces,crayon,27,3,3,leaves marks on surfaces
it can be melted with heat,crayon,27,1,1,is melted with heat
it has claws,crab,27,10,10,has claws
it is an arthropod,crab,27,3,2,is an arthropod
it is a crustacean,crab,27,10,10,is a crustacean
it has a hard exoskeleton,crab,27,10,6,has a hard exoskeleton
it lives in marine environments,crab,27,1,1,lives in marine environments
it walks sideways,crab,27,10,10,walks sideways
it has ten legs,crab,27,6,4,has ten legs
it is omnivorous,crab,27,10,2,is omnivorous
it is edible,crab,27,10,7,is edible
it is found in various sizes and species,crab,27,1,1,is found in species
it is found in various sizes and species,crab,27,1,1,is found in various sizes
it can swim or crawl,crab,27,10,2,swims
it can swim or crawl,crab,27,2,1,crawls
it is green,cucumber,27,10,10,is green
it is cylindrical,cucumber,27,10,7,is cylindrical
it has a smooth skin,cucumber,27,10,9,has a smooth skin
it is a vegetable,cucumber,27,10,10,is a vegetable
it grows on vines,cucumber,27,10,5,grows on vines
it is crunchy,cucumber,27,10,9,is crunchy
it has a mild taste,cucumber,27,10,9,has a mild taste
it is eaten in salads,cucumber,27,3,2,is eaten in salads
it can be pickled,cucumber,27,2,2,is pickled
it has a high water content,cucumber,27,4,4,has a high water content
it is refreshing,cucumber,27,2,2,is refreshing
it is eaten raw,cucumber,27,9,3,is eaten raw
it contains seeds,cucumber,27,5,2,contains seeds
it is made of metal,crowbar,27,10,10,is made of metal
it is heavy,crowbar,27,10,10,is heavy
it is used for prying,crowbar,27,10,10,is used to pry
it has a curved end,crowbar,27,10,10,has a curved end
it has a flat end,crowbar,27,9,9,has a flat end
it is used for leverage,crowbar,27,2,2,is used for leverage
it is a tool,crowbar,27,10,9,is a tool
it is used in construction,crowbar,27,10,4,is used in construction
it is used for demolition,crowbar,27,7,5,is used for demolition
it has a cylindrical shape,crowbar,27,9,1,has a cylindrical shape
it can be used as a weapon,crowbar,27,10,3,is used as a weapon
it is strong,crowbar,27,10,10,is strong
it is a ranged weapon,crossbow,27,3,3,is a ranged weapon
it shoots bolts or quarrels,crossbow,27,1,1,shoots quarrels
it shoots bolts or quarrels,crossbow,27,6,6,shoots bolts
it has a horizontal bow,crossbow,27,4,4,has a horizontal bow
it is powered by tension or torsion,crossbow,27,1,1,is powered by torsion
it is powered by tension or torsion,crossbow,27,1,1,is powered by tension
it has a trigger mechanism,crossbow,27,8,8,has a trigger mechanism
it is more accurate than a traditional bow,crossbow,27,1,1,is more accurate than a traditional bow
it requires less physical strength to use,crossbow,27,1,1,requires less physical strength to use
it has a slower reloading time compared to a traditional bow,crossbow,27,1,1,has a slower reloading time compared to a traditional bow
it is used for drinking,cup,27,10,10,is used to drink
it has a handle,cup,27,10,10,has a handle
it is made of various materials (such as ceramic,cup,27,10,8,is made of various materials
it is cylindrical,cup,27,10,3,is cylindrical
it has a flat bottom,cup,27,9,7,has a flat bottom
it can hold liquids,cup,27,10,9,holds liquids
it can hold solids,cup,27,8,1,holds solids
it comes in various sizes and designs,cup,27,9,2,comes in various sizes and designs
it is portable,cup,27,10,1,is portable
it is sharp,dagger,27,10,7,is sharp
it is a weapon,dagger,27,10,10,is a weapon
it has a handle,dagger,27,10,10,has a handle
it is made of metal,dagger,27,10,10,is made of metal
it is used for stabbing,dagger,27,9,9,is used to stab
it is small,dagger,27,10,9,is small
it is lightweight,dagger,27,10,2,is lightweight
it can be concealed easily,dagger,27,9,9,is concealed easily
it has a pointed tip,dagger,27,9,6,has a pointed tip
it has a double-edged blade,dagger,27,1,1,has a double - edged blade
it is used for self-defense,dagger,27,10,7,is used for self - defense
it can be ornamental,dagger,27,1,1,is decorative
it is a flowering plant,dandelion,27,8,8,is a flowering plant
it has yellow flowers,dandelion,27,6,6,has yellow flowers
it is considered a weed,dandelion,27,4,4,is considered a weed
it is edible,dandelion,27,10,8,is edible
it has a bitter taste,dandelion,27,5,1,has a bitter taste
it has a taproot,dandelion,27,10,10,has a taproot
it has toothed leaves,dandelion,27,5,5,has toothed leaves
it grows in lawns and gardens,dandelion,27,5,5,grows in lawns and gardens
it is used in herbal medicine,dandelion,27,2,2,is used in herbal medicine
it is soft,cushion,27,10,10,is soft
it is comfortable,cushion,27,9,5,is comfortable
it is used for support,cushion,27,7,6,is used for support
it is used on chairs,cushion,27,2,2,is used on chairs
it is used on sofas,cushion,27,2,2,is used on sofas
it is used on beds,cushion,27,2,1,is used on beds
it has a cover,cushion,27,10,8,has a cover
it can be decorative,cushion,27,10,9,is decorative
it comes in various shapes and sizes,cushion,27,10,6,comes in various shapes and sizes
it can be made of different materials like foam or feathers,cushion,27,1,1,is made of different materials like foam
it can be made of different materials like foam or feathers,cushion,27,1,1,is made of different materials like feathers
it is a mammal,deer,27,10,10,is a mammal
it has hooves,deer,27,10,8,has hooves
it is herbivorous,deer,27,10,7,is herbivorous
it has antlers (usually on males),deer,27,10,8,has antlers
it is found in forests and grasslands,deer,27,6,1,is found in forests
it is found in forests and grasslands,deer,27,2,1,is found in grasslands
it is a fast runner,deer,27,1,1,is a fast runner
it is a fast runner,deer,27,1,1,is a runner
it is a fast runner,deer,27,9,7,is fast
it is a good jumper,deer,27,9,1,is good
it is a good jumper,deer,27,2,1,is a jumper
it is a good jumper,deer,27,2,1,is a good jumper
it has a slender body,deer,27,9,5,has a slender body
it has large ears,deer,27,6,4,has large ears
it has a white tail (in some species),deer,27,3,3,has a white tail
it is made of wood,desk,27,10,9,is made of wood
it has a flat surface,desk,27,9,5,has a flat surface
it is used for writing,desk,27,10,8,is used to write
it is used for studying,desk,27,5,5,is used to study
it is used for working,desk,27,9,7,is used to work
it is furniture,desk,27,3,1,is a furniture
it has drawers,desk,27,10,5,has drawers
it can be made of metal,desk,27,10,4,is made of metal
it can be made of glass,desk,27,10,1,is made of glass
it can be made of plastic,desk,27,10,1,is made of plastic
it is found in offices,desk,27,6,3,is found in offices
it is an appliance,dishwasher,27,10,10,is an appliance
it cleans dishes,dishwasher,27,8,8,cleans dishes
it uses water,dishwasher,27,10,10,uses water
it uses detergent,dishwasher,27,7,7,uses detergent
it has racks,dishwasher,27,7,5,has racks
it has a door,dishwasher,27,10,10,has a door
it is found in kitchens,dishwasher,27,10,9,is found in kitchens
it is electric,dishwasher,27,10,6,is electric
it has a control panel,dishwasher,27,7,7,has a control panel
it has multiple wash cycles,dishwasher,27,3,3,has multiple wash cycles
it sanitizes dishes,dishwasher,27,6,6,sanitizes dishes
it saves time and effort,dishwasher,27,4,4,saves effort
it saves time and effort,dishwasher,27,6,6,saves time
it dries dishes,dishwasher,27,2,2,dries dishes
it is connected to plumbing,dishwasher,27,6,1,is connected to plumbing
it is a mammal,dog,27,10,9,is a mammal
it is a pet,dog,27,10,9,is a pet
it is a domesticated animal,dog,27,9,4,is a domesticated animal
it is a domesticated animal,dog,27,10,5,is an animal
it is a domesticated animal,dog,27,10,7,is domesticated
it has fur,dog,27,10,10,has fur
it has four legs,dog,27,10,10,has four legs
it has a tail,dog,27,10,10,has a tail
it barks,dog,27,9,9,barks
it comes in various breeds,dog,27,2,2,comes in various breeds
it is loyal,dog,27,10,10,is loyal
it is a companion animal,dog,27,1,1,is a companion animal
it has teeth,dog,27,10,5,has teeth
it is trainable,dog,27,7,7,is trainable
it is a garment,dress,27,10,5,is a garment
it is worn by women,dress,27,10,10,is worn by women
it covers the body,dress,27,6,6,covers the body
it is made of fabric,dress,27,10,7,is made of fabric
it comes in various styles,dress,27,8,5,comes in various styles
it comes in various sizes,dress,27,10,3,comes in various sizes
it comes in various colors,dress,27,10,3,comes in various colors
it is worn for formal occasions,dress,27,1,1,is worn for formal occasions
it can be casual or formal,dress,27,10,7,is formal
it can be casual or formal,dress,27,10,8,is casual
it is worn for comfort,dress,27,1,1,is worn for comfort
it is worn for fashion,dress,27,2,1,is worn for fashion
it is a toy,doll,27,10,10,is a toy
it is made of plastic,doll,27,10,10,is made of plastic
it has movable limbs,doll,27,6,6,has movable limbs
it can be dressed in clothes,doll,27,5,5,is dressed in clothes
it often has hair,doll,27,2,2,often has hair
it is used for imaginative play,doll,27,4,4,is used for imaginative play
it can be made of cloth,doll,27,10,5,is made of fabric
it can be made of porcelain,doll,27,6,3,is made of porcelain
it is designed to look like a human or an animal,doll,27,1,1,is designed to look like a human or an animal
it comes in various sizes and shapes,doll,27,10,2,comes in various sizes and shapes
they are mammals,dolphin,27,1,1,is a mammal
they are intelligent,dolphin,27,10,10,is intelligent
they have a dorsal fin,dolphin,27,10,10,has a dorsal fin
they live in the ocean,dolphin,27,10,5,lives in the ocean
they are carnivorous,dolphin,27,10,5,is carnivorous
they have a streamlined body,dolphin,27,10,10,has a streamlined body
they communicate using echolocation,dolphin,27,5,5,communicates using echolocation
they live in groups called pods,dolphin,27,4,4,lives in groups called pods
they have a blowhole for breathing,dolphin,27,4,4,has a blowhole for breathing
they are playful,dolphin,27,10,5,is playful
they are social animals,dolphin,27,1,1,is social animals
they have a beak-like snout,dolphin,27,2,2,has a beak - like snout
it is a mammal,donkey,27,10,9,is a mammal
it has four legs,donkey,27,10,7,has four legs
it has hooves,donkey,27,10,8,has hooves
it has a tail,donkey,27,10,6,has a tail
it has ears,donkey,27,7,2,has ears
it is domesticated,donkey,27,10,10,is domesticated
it is strong,donkey,27,10,4,is strong
it is used for carrying loads,donkey,27,9,9,is used to carry loads
it is used for transportation,donkey,27,10,4,is used for transportation
it is stubborn,donkey,27,5,5,is stubborn
it makes a braying sound,donkey,27,1,1,makes a braying sound
it is herbivorous,donkey,27,10,8,is herbivorous
it is round,doorknob,27,10,10,is round
it is used for opening doors,doorknob,27,9,9,is used to open doors
it is made of metal,doorknob,27,10,9,is made of metal
it can be locked,doorknob,27,10,9,is locked
it is attached to a door,doorknob,27,9,9,is attached to a door
it can be turned,doorknob,27,8,8,is turned
it has a keyhole,doorknob,27,6,6,has a keyhole
it comes in various designs and finishes,doorknob,27,3,3,comes in various designs and finishes
it is used for closing doors,doorknob,27,4,4,is used to close doors
it is a part of a door handle mechanism,doorknob,27,1,1,is a part of a door handle mechanism
it has drawers,dresser,27,10,10,has drawers
it is used for storage,dresser,27,10,7,is used for storage
it is typically made of wood,dresser,27,1,1,is typically made of wood
it can have various styles and designs,dresser,27,2,1,has various styles and designs
it is used to store clothes and accessories,dresser,27,2,2,is used to store clothes and accessories
it often has a flat surface on top for placing decorative items or personal belongings,dresser,27,1,1,often has a flat surface on top for placing decorative items or personal belongings
it can come in different sizes and heights,dresser,27,1,1,comes in heights
it can come in different sizes and heights,dresser,27,10,1,comes in different sizes
it is cylindrical,drum,27,10,4,is cylindrical
it is hollow,drum,27,10,6,is hollow
it has a membrane or drumhead,drum,27,7,7,has a drumhead
it has a membrane or drumhead,drum,27,8,8,has a membrane
it produces sound,drum,27,10,9,produces sound
it is percussive,drum,27,3,3,is percussive
it is played with drumsticks or hands,drum,27,4,4,is played with drumsticks
it is played with drumsticks or hands,drum,27,7,6,is played with hands
it can have different sizes and shapes,drum,27,1,1,has different sizes and shapes
it can be made of wood or metal,drum,27,10,10,is made of metal
it can be made of wood or metal,drum,27,10,10,is made of wood
it is part of a drum kit,drum,27,1,1,is part of a drum kit
it has a resonant body,drum,27,1,1,has a resonant body
it is a power tool,drill,27,10,10,is a power tool
it is used for making holes,drill,27,4,4,is used to make holes
it has a motor,drill,27,10,9,has a motor
it has a chuck,drill,27,6,6,has a chuck
it uses drill bits,drill,27,5,5,uses drill bits
it can be corded or cordless,drill,27,8,8,is corded or cordless
it rotates,drill,27,10,4,rotates
it has variable speeds,drill,27,5,5,has variable speeds
it has a trigger,drill,27,10,4,has a trigger
it can be used for screwing and unscrewing,drill,27,3,3,is used for screwing and unscrewing
it is handheld,drill,27,10,5,is handheld
it is a bird,duck,27,10,10,is a bird
it has feathers,duck,27,10,10,has feathers
it can fly,duck,27,10,10,flies
it has webbed feet,duck,27,10,10,has webbed feet
it can swim,duck,27,10,10,swims
it has a beak,duck,27,10,10,has a beak
it makes a quacking sound,duck,27,3,3,makes a quacking sound
it lays eggs,duck,27,10,10,lays eggs
it is omnivorous,duck,27,10,6,is omnivorous
it lives near water,duck,27,10,4,lives near water
it has waterproof feathers,duck,27,5,5,has waterproof feathers
it waddles when walking,duck,27,10,6,waddles
it is a bird,eagle,27,10,10,is a bird
it has wings,eagle,27,10,3,has wings
it is a predator,eagle,27,10,10,is a predator
it has sharp talons,eagle,27,9,5,has sharp talons
it has a hooked beak,eagle,27,9,4,has a hooked beak
it is a raptor,eagle,27,7,3,is a raptor
it can fly,eagle,27,10,10,flies
it has feathers,eagle,27,10,9,has feathers
it has excellent vision,eagle,27,3,1,has excellent vision
it is a symbol of freedom and strength,eagle,27,7,7,is a symbol of freedom
it is a symbol of freedom and strength,eagle,27,1,1,is strength
it builds nests called eyries,eagle,27,1,1,builds nests called eyries
it lays eggs,eagle,27,10,6,lays eggs
it is used for security,fence,27,8,6,is used for security
it is used to mark boundaries,fence,27,2,2,is used to mark boundaries
it is made of wood,fence,27,10,10,is made of wood
it is made of metal,fence,27,10,9,is made of metal
it is made of wire,fence,27,6,2,is made of wire
it has posts,fence,27,8,8,has posts
it has rails,fence,27,5,5,has rails
it can be tall,fence,27,10,9,is tall
it can be short,fence,27,10,9,is short
it is used for privacy,fence,27,5,5,is used for privacy
it can be decorative,fence,27,10,10,is decorative
it can have gates,fence,27,4,4,has gates
it is a mammal,elephant,27,10,10,is a mammal
it is large,elephant,27,10,10,is large
it has a trunk,elephant,27,10,10,has a trunk
it has tusks,elephant,27,10,10,has tusks
it has big ears,elephant,27,8,8,has big ears
it is herbivorous,elephant,27,10,9,is herbivorous
it is gray,elephant,27,10,9,is gray
it lives in africa and asia,elephant,27,10,9,lives in africa and asia
it is social,elephant,27,10,7,is social
it lives in herds,elephant,27,9,7,lives in herds
it has thick skin,elephant,27,10,10,has thick skin
it has a long gestation period,elephant,27,1,1,has a long gestation period
it is intelligent,elephant,27,10,9,is intelligent
it is elongated,eel,27,8,4,is elongated
it is a fish,eel,27,10,9,is a fish
it lives in water,eel,27,10,7,lives in water
it has a slimy skin,eel,27,4,1,has a slimy skin
it can produce electric shocks (some species),eel,27,6,6,produces electric shocks
it has a dorsal fin,eel,27,10,5,has a dorsal fin
it is carnivorous,eel,27,10,8,is carnivorous
it has small scales,eel,27,1,1,has small scales
it is found in both freshwater and saltwater environments,eel,27,2,1,is found in saltwater environments
it is found in both freshwater and saltwater environments,eel,27,2,1,is found in both freshwater
it has a snake-like appearance,eel,27,3,3,has a snake - like appearance
it is edible,eel,27,10,1,is edible
it is round,football,27,10,10,is round
it is made of leather or synthetic materials,football,27,9,8,is made of leather or synthetic materials
it has a textured surface for grip,football,27,5,4,has a textured surface for grip
it is inflated with air,football,27,7,7,is inflated with air
it has a standard size and weight,football,27,8,8,has a standard size and weight
it is used in the sport of football (soccer),football,27,2,2,is used in the sport of football
it is typically black and white (though other colors and designs exist),football,27,2,2,is typically black and white
it is typically black and white (though other colors and designs exist),football,27,1,1,designs exist )
it is durable,football,27,10,2,is durable
it is rectangular,envelope,27,10,6,is rectangular
it is made of paper,envelope,27,10,10,is made of paper
it has a flap,envelope,27,9,9,has a flap
it is used for mailing,envelope,27,7,7,is used to mail
it can be sealed with adhesive,envelope,27,6,6,is sealed with adhesive
it holds letters or documents,envelope,27,6,6,holds documents
it holds letters or documents,envelope,27,7,7,holds letters
it comes in various sizes,envelope,27,10,8,comes in various sizes
it can have a window for addresses,envelope,27,4,4,has a window for addresses
it can be made of different materials (such as plastic or cardboard),envelope,27,8,2,is made of different materials
it can have various colors,envelope,27,1,1,has various colors
it is a bird,flamingo,27,10,10,is a bird
it has long legs,flamingo,27,10,10,has long legs
it has a long neck,flamingo,27,10,8,has a long neck
it has pink feathers,flamingo,27,3,3,has pink feathers
it is native to tropical and subtropical regions,flamingo,27,1,1,is native to tropical and subtropical regions
it is a wading bird,flamingo,27,6,6,is a wading bird
it feeds on shrimp and algae,flamingo,27,9,9,feeds on shrimp and algae
it lives in large colonies,flamingo,27,4,4,lives in large colonies
it can fly,flamingo,27,10,9,flies
it has webbed feet,flamingo,27,10,6,has webbed feet
it is a musical instrument,flute,27,10,10,is an instrument
it is a musical instrument,flute,27,10,10,is a musical instrument
it is a musical instrument,flute,27,10,10,is musical
it belongs to the woodwind family,flute,27,2,2,belongs to the woodwind family
it is played by blowing air across the embouchure hole,flute,27,4,4,is played by blowing air across the embouchure hole
it produces sound through the vibration of air,flute,27,2,2,produces sound through the vibration of air
it has keys and holes to produce different notes,flute,27,1,1,has keys and holes to produce different notes
it is usually made of metal (silver,flute,27,10,10,is made of metal
it is made of metal,fork,27,10,10,is made of metal
it has prongs,fork,27,9,9,has prongs
it is used for eating,fork,27,10,10,is used to eat
it is a utensil,fork,27,10,10,is a utensil
it can be made of plastic,fork,27,10,10,is made of plastic
it has a handle,fork,27,10,10,has a handle
it is used for picking up food,fork,27,4,4,is used to pick up food
it is dishwasher safe,fork,27,9,5,is dishwasher safe
it can have different numbers of prongs (usually three or four),fork,27,1,1,has different numbers of prongs
it comes in various sizes and styles,fork,27,9,3,comes in various sizes and styles
it is an amphibian,frog,27,9,9,is an amphibian
it has moist skin,frog,27,7,7,has moist skin
it can jump,frog,27,10,9,jumps
it has webbed feet,frog,27,10,10,has webbed feet
it lays eggs,frog,27,10,9,lays eggs
it undergoes metamorphosis,frog,27,9,6,undergoes metamorphosis
it is cold-blooded,frog,27,10,7,is cold - blooded
it has a slimy body,frog,27,6,2,has a slimy body
it can live in water and on land,frog,27,5,1,lives in water and on land
