concept,question,id
kneepad,What are the properties of a kneepad?,kneepad
knitting,What are the properties of a knitting?,knitting
knitting needle,What are the properties of a knitting needle?,knitting_needle
knob,What are the properties of a knob?,knob
knot,What are the properties of a knot?,knot
koala,What are the properties of a koala?,koala
lab coat,What are the properties of a lab coat?,lab_coat
ladder,What are the properties of a ladder?,ladder
ladybug,What are the properties of a ladybug?,ladybug
lamb chop,What are the properties of a lamb chop?,lamb_chop
lamppost,What are the properties of a lamppost?,lamppost
lampshade,What are the properties of a lampshade?,lampshade
landmine,What are the properties of a landmine?,landmine
lanyard,What are the properties of a lanyard (accessory)?,lanyard
laptop,What are the properties of a laptop?,laptop
lasagna,What are the properties of a lasagna?,lasagna
laser pointer,What are the properties of a laser pointer?,laser_pointer
latch,What are the properties of a latch?,latch
latte,What are the properties of a latte?,latte
laundry basket,What are the properties of a laundry basket?,laundry_basket
lava,What are the properties of a lava?,lava
lavender,What are the properties of a lavender?,lavender
lawnmower,What are the properties of a lawnmower?,lawnmower
leaf,"What are the properties of a leaf (part of plant, part of tree)?",leaf
leash,What are the properties of a leash?,leash
lectern,What are the properties of a lectern?,lectern
leech,What are the properties of a leech?,leech
leek,What are the properties of a leek?,leek
leg,What are the properties of a leg?,leg
leggings,What are the properties of leggings?,leggings
lego,What are the properties of a lego?,lego
lemonade,What are the properties of a lemonade?,lemonade
lens,What are the properties of a lens?,lens
leotard,What are the properties of a leotard?,leotard
letter opener,What are the properties of a letter opener?,letter_opener
license plate,What are the properties of a license plate?,license_plate
licorice,What are the properties of a licorice?,licorice
lid,What are the properties of a lid?,lid
life jacket,What are the properties of a life jacket?,life_jacket
light switch,What are the properties of a light switch?,light_switch
lightbulb,What are the properties of a lightbulb?,lightbulb
lighter,What are the properties of a lighter?,lighter
lightning bug,What are the properties of a lightning bug?,lightning_bug
lingerie,What are the properties of a lingerie?,lingerie
lip balm,What are the properties of a lip balm?,lip_balm
lip gloss,What are the properties of a lip gloss?,lip_gloss
lipstick,What are the properties of a lipstick?,lipstick
lizard,What are the properties of a lizard?,lizard
llama,What are the properties of a llama?,llama
lock,What are the properties of a lock?,lock
locker,What are the properties of a locker?,locker
locket,What are the properties of a locket?,locket
log,What are the properties of a log?,log
loincloth,What are the properties of a loincloth?,loincloth
lollipop,What are the properties of a lollipop?,lollipop
loom,What are the properties of a loom?,loom
loveseat,What are the properties of a loveseat?,loveseat
luggage,What are the properties of a luggage?,luggage
lumber,What are the properties of a lumber?,lumber
lunchbox,What are the properties of a lunchbox?,lunchbox
macadamia,What are the properties of a macadamia?,macadamia
macaroni,What are the properties of a macaroni?,macaroni
machine gun,What are the properties of a machine gun?,machine_gun
maggot,What are the properties of a maggot?,maggot
magnet,What are the properties of a magnet?,magnet
magnifier,What are the properties of a magnifier?,magnifier
magnifying glass,What are the properties of a magnifying glass?,magnifying_glass
mail,What are the properties of a mail?,mail
mailbox,What are the properties of a mailbox?,mailbox
makeup,What are the properties of a makeup?,makeup
mallet,What are the properties of a mallet?,mallet
man,What are the properties of a man?,man
manatee,What are the properties of a manatee?,manatee
mandolin,What are the properties of a mandolin?,mandolin
mango,What are the properties of a mango?,mango
manhole,What are the properties of a manhole?,manhole
mannequin,What are the properties of a mannequin?,mannequin
map,What are the properties of a map?,map
maple syrup,What are the properties of a maple syrup?,maple_syrup
margarita,What are the properties of a margarita?,margarita
marijuana,What are the properties of a marijuana?,marijuana
marker,What are the properties of a marker?,marker
marmalade,What are the properties of a marmalade?,marmalade
marshmallow,What are the properties of a marshmallow?,marshmallow
mascara,What are the properties of a mascara?,mascara
mashed potato,What are the properties of a mashed potato?,mashed_potato
mask,What are the properties of a mask?,mask
match,What are the properties of a match?,match
matchbox,What are the properties of a matchbox?,matchbox
mattress,What are the properties of a mattress?,mattress
measuring cup,What are the properties of a measuring cup?,measuring_cup
meat,What are the properties of a meat?,meat
meat grinder,What are the properties of a meat grinder?,meat_grinder
meatball,What are the properties of a meatball?,meatball
meatloaf,What are the properties of a meatloaf?,meatloaf
medal,What are the properties of a medal?,medal
meerkat,What are the properties of a meerkat?,meerkat
megaphone,What are the properties of a megaphone?,megaphone
melon,What are the properties of a melon?,melon
memory stick,What are the properties of a memory stick?,memory_stick
metal detector,What are the properties of a metal detector?,metal_detector
metronome,What are the properties of a metronome?,metronome
microphone,What are the properties of a microphone?,microphone
milk,What are the properties of a milk?,milk
milkshake,What are the properties of a milkshake?,milkshake
minivan,What are the properties of a minivan?,minivan
mint,What are the properties of a mint?,mint
missile,What are the properties of a missile?,missile
mistletoe,What are the properties of a mistletoe?,mistletoe
mitten,What are the properties of a mitten?,mitten
modem,What are the properties of a modem?,modem
mole,What are the properties of a mole?,mole
money,What are the properties of a money?,money
mongoose,What are the properties of a mongoose?,mongoose
monkey,What are the properties of a monkey?,monkey
mop,What are the properties of a mop?,mop
mosquito,What are the properties of a mosquito?,mosquito
mosquito net,What are the properties of a mosquito net?,mosquito_net
moss,What are the properties of a moss?,moss
motherboard,What are the properties of a motherboard?,motherboard
mousepad,What are the properties of a mousepad?,mousepad
mousetrap,What are the properties of a mousetrap?,mousetrap
mousse,What are the properties of a mousse?,mousse
mouth,What are the properties of a mouth?,mouth
mud,What are the properties of a mud?,mud
muff,What are the properties of a muff?,muff
muffin,What are the properties of a muffin?,muffin
mulberry,What are the properties of a mulberry?,mulberry
mulch,What are the properties of a mulch?,mulch
music box,What are the properties of a music box?,music_box
mussel,What are the properties of a mussel?,mussel
mustache,What are the properties of a mustache?,mustache
mustard,What are the properties of a mustard?,mustard
nacho,What are the properties of a nacho?,nacho
nail clippers,What are the properties of nail clippers?,nail_clippers
nail file,What are the properties of a nail file?,nail_file
nail polish,What are the properties of a nail polish?,nail_polish
napkin ring,What are the properties of a napkin ring?,napkin_ring
navel,What are the properties of a navel?,navel
neck,What are the properties of a neck?,neck
needle,What are the properties of a needle?,needle
nest,What are the properties of a nest?,nest
net,What are the properties of a net?,net
nightshirt,What are the properties of a nightshirt?,nightshirt
nightstand,What are the properties of a nightstand?,nightstand
noodle,What are the properties of a noodle?,noodle
noose,What are the properties of a noose?,noose
nose,What are the properties of a nose?,nose
notebook,"What are the properties of a notebook (office supply, school supply)?",notebook
notepad,What are the properties of a notepad?,notepad
nut,What are the properties of a nut?,nut
oar,What are the properties of an oar?,oar
oatmeal,What are the properties of an oatmeal?,oatmeal
odometer,What are the properties of an odometer?,odometer
oil,What are the properties of an oil?,oil
oilcan,What are the properties of an oilcan?,oilcan
okra,What are the properties of an okra?,okra
omelet,What are the properties of an omelet?,omelet
onion,What are the properties of an onion?,onion
orange rind,What are the properties of an orange rind?,orange_rind
orangutan,What are the properties of an orangutan?,orangutan
orchid,What are the properties of an orchid?,orchid
origami,What are the properties of an origami?,origami
ottoman,What are the properties of an ottoman?,ottoman
outfit,What are the properties of an outfit?,outfit
outlet,What are the properties of an outlet?,outlet
overalls,What are the properties of overalls?,overalls
oyster,What are the properties of an oyster?,oyster
pacifier,What are the properties of a pacifier?,pacifier
paddle,What are the properties of a paddle?,paddle
padlock,What are the properties of a padlock?,padlock
paint,What are the properties of a paint?,paint
paintbrush,What are the properties of a paintbrush?,paintbrush
painting,What are the properties of a painting?,painting
pajamas,What are the properties of pajamas?,pajamas
palette,What are the properties of a palette?,palette
pallet,What are the properties of a pallet?,pallet
palm tree,What are the properties of a palm tree?,palm_tree
pan,What are the properties of a pan?,pan
pancake,What are the properties of a pancake?,pancake
panda,What are the properties of a panda?,panda
panties,What are the properties of panties?,panties
pants,What are the properties of pants?,pants
pantsuit,What are the properties of a pantsuit?,pantsuit
pantyhose,What are the properties of a pantyhose?,pantyhose
papaya,What are the properties of a papaya?,papaya
paper,What are the properties of a paper?,paper
paper bag,What are the properties of a paper bag?,paper_bag
paper plate,What are the properties of a paper plate?,paper_plate
paper towel,What are the properties of a paper towel?,paper_towel
paperclip,What are the properties of a paperclip?,paperclip
paperweight,What are the properties of a paperweight?,paperweight
parachute,What are the properties of a parachute?,parachute
parfait,What are the properties of a parfait?,parfait
parking meter,What are the properties of a parking meter?,parking_meter
parrot,What are the properties of a parrot?,parrot
pasta,What are the properties of a pasta?,pasta
pastry,What are the properties of a pastry?,pastry
patty,What are the properties of a patty?,patty
payphone,What are the properties of a payphone?,payphone
pea,What are the properties of a pea?,pea
peanut,What are the properties of a peanut?,peanut
peanut butter,What are the properties of a peanut butter?,peanut_butter
pearl,What are the properties of a pearl?,pearl
pecan,What are the properties of a pecan?,pecan
pedal,What are the properties of a pedal?,pedal
pedometer,What are the properties of a pedometer?,pedometer
peeler,What are the properties of a peeler?,peeler
pencil sharpener,What are the properties of a pencil sharpener?,pencil_sharpener
pendulum,What are the properties of a pendulum?,pendulum
penholder,What are the properties of a penholder?,penholder
penlight,What are the properties of a penlight?,penlight
pennant,What are the properties of a pennant?,pennant
pepper mill,What are the properties of a pepper mill?,pepper_mill
peppermint,What are the properties of a peppermint (candy)?,peppermint
pepperoni,What are the properties of a pepperoni (meat)?,pepperoni
perfume,What are the properties of a perfume?,perfume
periscope,What are the properties of a periscope?,periscope
pesto,What are the properties of a pesto?,pesto
pet food,What are the properties of a pet food?,pet_food
petal,What are the properties of a petal?,petal
petri dish,What are the properties of a petri dish?,petri_dish
pheasant,What are the properties of a pheasant?,pheasant
phone,What are the properties of a phone?,phone
phone booth,What are the properties of a phone booth?,phone_booth
photo booth,What are the properties of a photo booth?,photo_booth
photograph,What are the properties of a photograph?,photograph
pickax,What are the properties of a pickax?,pickax
pickle,What are the properties of a pickle?,pickle
piecrust,What are the properties of a piecrust?,piecrust
piggy bank,What are the properties of a piggy bank?,piggy_bank
piglet,What are the properties of a piglet?,piglet
pill,What are the properties of a pill?,pill
pillbox,What are the properties of a pillbox?,pillbox
pinball,What are the properties of a pinball?,pinball
pincushion,What are the properties of a pincushion?,pincushion
pine needle,What are the properties of a pine needle?,pine_needle
pine tree,What are the properties of a pine tree?,pine_tree
pinecone,What are the properties of a pinecone?,pinecone
ping-pong table,What are the properties of a ping-pong table?,ping-pong_table
pinwheel,What are the properties of a pinwheel?,pinwheel
pistachio,What are the properties of a pistachio?,pistachio
pita,What are the properties of a pita?,pita
pitcher,What are the properties of a pitcher?,pitcher
pitchfork,What are the properties of a pitchfork?,pitchfork
pizza,What are the properties of a pizza?,pizza
place mat,What are the properties of a place mat?,place_mat
plant,What are the properties of a plant?,plant
plaster cast,What are the properties of a plaster cast?,plaster_cast
plastic film,What are the properties of a plastic film?,plastic_film
playing card,What are the properties of a playing card?,playing_card
playpen,What are the properties of a playpen?,playpen
plug,What are the properties of a plug?,plug
plunger,What are the properties of a plunger?,plunger
pocket,What are the properties of a pocket?,pocket
pocket watch,What are the properties of a pocket watch?,pocket_watch
pocketknife,What are the properties of a pocketknife?,pocketknife
pogo stick,What are the properties of a pogo stick?,pogo_stick
poinsettia,What are the properties of a poinsettia?,poinsettia
polar bear,What are the properties of a polar bear?,polar_bear
polaroid,What are the properties of a polaroid?,polaroid
pole,What are the properties of a pole?,pole
police car,What are the properties of a police car?,police_car
polo shirt,What are the properties of a polo shirt?,polo_shirt
polygraph,What are the properties of a polygraph?,polygraph
pom-pom,What are the properties of a pom-pom?,pom-pom
pomegranate,What are the properties of a pomegranate?,pomegranate
poodle,What are the properties of a poodle?,poodle
pool table,What are the properties of a pool table?,pool_table
popcorn,What are the properties of a popcorn?,popcorn
poppy,What are the properties of a poppy?,poppy
popsicle,What are the properties of a popsicle?,popsicle
porthole,What are the properties of a porthole?,porthole
possum,What are the properties of a possum?,possum
poster,What are the properties of a poster?,poster
pot,What are the properties of a pot?,pot
potholder,What are the properties of a potholder?,potholder
pothole,What are the properties of a pothole?,pothole
potpie,What are the properties of a potpie?,potpie
potpourri,What are the properties of a potpourri?,potpourri
powder,What are the properties of a powder?,powder
power line,What are the properties of a power line?,power_line
praying mantis,What are the properties of a praying mantis?,praying_mantis
pretzel,What are the properties of a pretzel?,pretzel
printer,What are the properties of a printer?,printer
prism,What are the properties of a prism?,prism
propeller,What are the properties of a propeller?,propeller
puck,What are the properties of a puck?,puck
pudding,What are the properties of a pudding (dessert)?,pudding
puddle,What are the properties of a puddle?,puddle
puffin,What are the properties of a puffin?,puffin
pug,What are the properties of a pug?,pug
pulley,What are the properties of a pulley?,pulley
pulpit,What are the properties of a pulpit?,pulpit
pump,What are the properties of a pump?,pump
punching bag,What are the properties of a punching bag?,punching_bag
puppet,What are the properties of a puppet?,puppet
puppy,What are the properties of a puppy?,puppy
purse,What are the properties of a purse?,purse
quad,What are the properties of a quad?,quad
quesadilla,What are the properties of a quesadilla?,quesadilla
quiche,What are the properties of a quiche?,quiche
quill,What are the properties of a quill?,quill
quilt,What are the properties of a quilt?,quilt
racehorse,What are the properties of a racehorse?,racehorse
racket,What are the properties of a racket?,racket
radar,What are the properties of a radar?,radar
rag,What are the properties of a rag?,rag
railing,What are the properties of a railing?,railing
rain gauge,What are the properties of a rain gauge?,rain_gauge
raincoat,What are the properties of a raincoat?,raincoat
ram,What are the properties of a ram (animal)?,ram
ratchet,What are the properties of a ratchet?,ratchet
ravioli,What are the properties of a ravioli?,ravioli
razor blade,What are the properties of a razor blade?,razor_blade
ready meal,What are the properties of a ready meal?,ready_meal
rearview mirror,What are the properties of a rearview mirror?,rearview_mirror
recliner,What are the properties of a recliner?,recliner
record,What are the properties of a record?,record
record player,What are the properties of a record player?,record_player
recorder,What are the properties of a recorder (musical instrument)?,recorder
red carpet,What are the properties of a red carpet?,red_carpet
refrigerator,What are the properties of a refrigerator?,refrigerator
reindeer,What are the properties of a reindeer?,reindeer
remote control,What are the properties of a remote control?,remote_control
revolving door,What are the properties of a revolving door?,revolving_door
rhinoceros,What are the properties of a rhinoceros?,rhinoceros
ribbon,What are the properties of a ribbon?,ribbon
rickshaw,What are the properties of a rickshaw?,rickshaw
road sign,What are the properties of a road sign?,road_sign
robot,What are the properties of a robot?,robot
rocking chair,What are the properties of a rocking chair?,rocking_chair
rocking horse,What are the properties of a rocking horse?,rocking_horse
roll,What are the properties of a roll?,roll
roller,What are the properties of a roller (garden tool)?,roller
roller coaster,What are the properties of a roller coaster?,roller_coaster
rollerblade,What are the properties of a rollerblade?,rollerblade
rollerskate,What are the properties of a rollerskate?,rollerskate
rolling pin,What are the properties of a rolling pin?,rolling_pin
roof rack,What are the properties of a roof rack?,roof_rack
rooster,What are the properties of a rooster?,rooster
root,What are the properties of a root?,root
rosary,What are the properties of a rosary?,rosary
rose,What are the properties of a rose?,rose
roulette wheel,What are the properties of a roulette wheel?,roulette_wheel
router,What are the properties of a router?,router
rubber band,What are the properties of a rubber band?,rubber_band
ruby,What are the properties of a ruby?,ruby
rudder,What are the properties of a rudder?,rudder
rug,What are the properties of a rug?,rug
rust,What are the properties of a rust?,rust
safety pin,What are the properties of a safety pin?,safety_pin
saffron,What are the properties of a saffron?,saffron
sail,What are the properties of a sail?,sail
sailboat,What are the properties of a sailboat?,sailboat
salad,What are the properties of a salad?,salad
salami,What are the properties of a salami?,salami
saltshaker,What are the properties of a saltshaker?,saltshaker
sand,What are the properties of a sand?,sand
sandal,What are the properties of a sandal?,sandal
sandbag,What are the properties of a sandbag?,sandbag
sandbox,What are the properties of a sandbox?,sandbox
sandcastle,What are the properties of a sandcastle?,sandcastle
sandwich,What are the properties of a sandwich?,sandwich
sarcophagus,What are the properties of a sarcophagus?,sarcophagus
satellite,What are the properties of a satellite?,satellite
satellite dish,What are the properties of a satellite dish?,satellite_dish
sauce,What are the properties of a sauce?,sauce
saucer,What are the properties of a saucer?,saucer
sauerkraut,What are the properties of a sauerkraut?,sauerkraut
sausage,What are the properties of a sausage?,sausage
saw,What are the properties of a saw?,saw
sawhorse,What are the properties of a sawhorse?,sawhorse
scaffold,What are the properties of a scaffold?,scaffold
scaffolding,What are the properties of a scaffolding?,scaffolding
scallion,What are the properties of a scallion?,scallion
scallop,What are the properties of a scallop?,scallop
scalpel,What are the properties of a scalpel?,scalpel
scarecrow,What are the properties of a scarecrow?,scarecrow
school bus,What are the properties of a school bus?,school_bus
scone,What are the properties of a scone?,scone
scoreboard,What are the properties of a scoreboard?,scoreboard
scorpion,What are the properties of a scorpion?,scorpion
scrabble,What are the properties of a scrabble?,scrabble
scrambled egg,What are the properties of a scrambled egg?,scrambled_egg
scraper,What are the properties of a scraper?,scraper
screw,What are the properties of a screw?,screw
scuba,What are the properties of a scuba?,scuba
sea urchin,What are the properties of a sea urchin?,sea_urchin
seafood,What are the properties of a seafood?,seafood
seahorse,What are the properties of a seahorse?,seahorse
seaplane,What are the properties of a seaplane?,seaplane
seatbelt,What are the properties of a seatbelt?,seatbelt
seed,What are the properties of a seed?,seed
seesaw,What are the properties of a seesaw?,seesaw
seismograph,What are the properties of a seismograph?,seismograph
sequin,What are the properties of a sequin?,sequin
sewage,What are the properties of a sewage?,sewage
sewing kit,What are the properties of a sewing kit?,sewing_kit
sewing machine,What are the properties of a sewing machine?,sewing_machine
shaker,What are the properties of a shaker?,shaker
shark,What are the properties of a shark?,shark
shaving cream,What are the properties of a shaving cream?,shaving_cream
shears,What are the properties of shears?,shears
sheet,What are the properties of a sheet (bedding)?,sheet
shelf,What are the properties of a shelf?,shelf
shoe,What are the properties of a shoe?,shoe
shoe polish,What are the properties of a shoe polish?,shoe_polish
shoehorn,What are the properties of a shoehorn?,shoehorn
shoelace,What are the properties of a shoelace?,shoelace
shopping basket,What are the properties of a shopping basket?,shopping_basket
shopping cart,What are the properties of a shopping cart?,shopping_cart
shortbread,What are the properties of a shortbread?,shortbread
shorts,What are the properties of shorts?,shorts
shower,What are the properties of a shower?,shower
shower cap,What are the properties of a shower cap?,shower_cap
shower curtain,What are the properties of a shower curtain?,shower_curtain
showerhead,What are the properties of a showerhead?,showerhead
shredder,What are the properties of a shredder?,shredder
shuffleboard,What are the properties of a shuffleboard?,shuffleboard
shutter,"What are the properties of a shutter (window covering, window accessory)?",shutter
sickle,What are the properties of a sickle?,sickle
sifter,What are the properties of a sifter?,sifter
silicone,What are the properties of a silicone?,silicone
silverware,What are the properties of a silverware?,silverware
sim card,What are the properties of a sim card?,sim_card
skeleton,What are the properties of a skeleton?,skeleton
ski,What are the properties of a ski?,ski
ski boots,What are the properties of ski boots?,ski_boots
ski lift,What are the properties of a ski lift?,ski_lift
ski pole,What are the properties of a ski pole?,ski_pole
skin,What are the properties of a skin?,skin
skull,What are the properties of a skull?,skull
sled,What are the properties of a sled?,sled
sledgehammer,What are the properties of a sledgehammer?,sledgehammer
sleeping bag,What are the properties of a sleeping bag?,sleeping_bag
slicer,What are the properties of a slicer?,slicer
slide,What are the properties of a slide?,slide
slime,What are the properties of a slime?,slime
slingshot,What are the properties of a slingshot?,slingshot
slipper,What are the properties of a slipper?,slipper
slot machine,What are the properties of a slot machine?,slot_machine
sloth,What are the properties of a sloth?,sloth
slug,What are the properties of a slug?,slug
smoke alarm,What are the properties of a smoke alarm?,smoke_alarm
smoothie,What are the properties of a smoothie?,smoothie
snack,What are the properties of a snack?,snack
snake,What are the properties of a snake?,snake
snorkel,What are the properties of a snorkel?,snorkel
snow,What are the properties of a snow?,snow
snowball,What are the properties of a snowball?,snowball
snowboard,What are the properties of a snowboard?,snowboard
snowman,What are the properties of a snowman?,snowman
snowmobile,What are the properties of a snowmobile?,snowmobile
snowplow,What are the properties of a snowplow?,snowplow
snowshoe,What are the properties of a snowshoe?,snowshoe
snowsuit,What are the properties of a snowsuit?,snowsuit
soap,What are the properties of a soap?,soap
soccer ball,What are the properties of a soccer ball?,soccer_ball
sock,What are the properties of a sock?,sock
soda,What are the properties of a soda?,soda
soda fountain,What are the properties of a soda fountain?,soda_fountain
sofa bed,What are the properties of a sofa bed?,sofa_bed
solar panel,What are the properties of a solar panel?,solar_panel
soldering iron,What are the properties of a soldering iron?,soldering_iron
sombrero,What are the properties of a sombrero?,sombrero
sonogram,What are the properties of a sonogram?,sonogram
sorbet,What are the properties of a sorbet?,sorbet
souffle,What are the properties of a souffle?,souffle
soup,What are the properties of a soup?,soup
soy sauce,What are the properties of a soy sauce?,soy_sauce
space shuttle,What are the properties of a space shuttle?,space_shuttle
spacesuit,What are the properties of a spacesuit?,spacesuit
spaghetti,What are the properties of spaghetti?,spaghetti
spam,What are the properties of a spam?,spam
spareribs,What are the properties of spareribs?,spareribs
spark plug,What are the properties of a spark plug?,spark_plug
sparkler,What are the properties of a sparkler?,sparkler
speaker,What are the properties of a speaker?,speaker
speedboat,What are the properties of a speedboat?,speedboat
speedometer,What are the properties of a speedometer?,speedometer
spider web,What are the properties of a spider web?,spider_web
splinter,What are the properties of a splinter?,splinter
sponge,What are the properties of a sponge?,sponge
spool,What are the properties of a spool?,spool
spout,What are the properties of a spout?,spout
spring roll,What are the properties of a spring roll?,spring_roll
springboard,What are the properties of a springboard?,springboard
sprinkler,What are the properties of a sprinkler?,sprinkler
sprouts,What are the properties of sprouts?,sprouts
spur,What are the properties of a spur?,spur
squash,What are the properties of a squash?,squash
squeegee,What are the properties of a squeegee?,squeegee
squirt gun,What are the properties of a squirt gun?,squirt_gun
stained glass,What are the properties of a stained glass?,stained_glass
stair,What are the properties of a stair?,stair
stake,What are the properties of a stake?,stake
stalagmite,What are the properties of a stalagmite?,stalagmite
staple gun,What are the properties of a staple gun?,staple_gun
stapler,What are the properties of a stapler?,stapler
star fruit,What are the properties of a star fruit?,star_fruit
starfish,What are the properties of a starfish?,starfish
station wagon,What are the properties of a station wagon?,station_wagon
statue,What are the properties of a statue?,statue
steak,What are the properties of a steak?,steak
steamroller,What are the properties of a steamroller?,steamroller
steering wheel,What are the properties of a steering wheel?,steering_wheel
stem,What are the properties of a stem?,stem
step stool,What are the properties of a step stool?,step_stool
stereo,What are the properties of a stereo?,stereo
stethoscope,What are the properties of a stethoscope?,stethoscope
stew,What are the properties of a stew?,stew
sticker,What are the properties of a sticker?,sticker
stiletto,What are the properties of a stiletto (shoe)?,stiletto
stingray,What are the properties of a stingray?,stingray
stir fry,What are the properties of a stir fry?,stir_fry
stirrup,What are the properties of a stirrup?,stirrup
stockings,What are the properties of stockings?,stockings
stomach,What are the properties of a stomach?,stomach
stopwatch,What are the properties of a stopwatch?,stopwatch
straightjacket,What are the properties of a straightjacket?,straightjacket
strap,"What are the properties of a strap (securing device, fastener)?",strap
streetlight,What are the properties of a streetlight?,streetlight
stretcher,What are the properties of a stretcher?,stretcher
string cheese,What are the properties of a string cheese?,string_cheese
stroller,What are the properties of a stroller?,stroller
stuffing,What are the properties of a stuffing?,stuffing
stump,What are the properties of a stump?,stump
subway,What are the properties of a subway?,subway
sugar cube,What are the properties of a sugar cube?,sugar_cube
suit,What are the properties of a suit?,suit
suitcase,What are the properties of a suitcase?,suitcase
sundae,What are the properties of a sundae?,sundae
sundial,What are the properties of a sundial?,sundial
sunflower,What are the properties of a sunflower?,sunflower
sunglasses,What are the properties of sunglasses?,sunglasses
sunroof,What are the properties of a sunroof?,sunroof
sushi,What are the properties of a sushi?,sushi
suspenders,What are the properties of suspenders?,suspenders
sweatsuit,What are the properties of a sweatsuit?,sweatsuit
sweeper,What are the properties of a sweeper?,sweeper
sweet potato,What are the properties of a sweet potato?,sweet_potato
swimming pool,What are the properties of a swimming pool?,swimming_pool
swing,What are the properties of a swing?,swing
swing set,What are the properties of a swing set?,swing_set
switch,What are the properties of a switch?,switch
swizzle stick,What are the properties of a swizzle stick?,swizzle_stick
swordfish,What are the properties of a swordfish?,swordfish
syringe,What are the properties of a syringe?,syringe
syrup,What are the properties of a syrup?,syrup
t-shirt,What are the properties of a t-shirt?,t-shirt
tablecloth,What are the properties of a tablecloth?,tablecloth
tablet,What are the properties of a tablet (electronic device)?,tablet
tackle,What are the properties of a tackle (fishing equipment)?,tackle
taco,What are the properties of a taco?,taco
tadpole,What are the properties of a tadpole?,tadpole
taffy,What are the properties of a taffy?,taffy
taillight,What are the properties of a taillight?,taillight
tamale,What are the properties of a tamale?,tamale
tambourine,What are the properties of a tambourine?,tambourine
tape measure,What are the properties of a tape measure?,tape_measure
tape recorder,What are the properties of a tape recorder?,tape_recorder
tapestry,What are the properties of a tapestry?,tapestry
tarantula,What are the properties of a tarantula?,tarantula
target,What are the properties of a target?,target
tarp,What are the properties of a tarp?,tarp
tattoo,What are the properties of a tattoo?,tattoo
tea,What are the properties of a tea?,tea
teabag,What are the properties of a teabag?,teabag
teacup,What are the properties of a teacup?,teacup
teapot,What are the properties of a teapot?,teapot
teddy bear,What are the properties of a teddy bear?,teddy_bear
teepee,What are the properties of a teepee?,teepee
telegraph,What are the properties of a telegraph?,telegraph
telephone pole,What are the properties of a telephone pole?,telephone_pole
telescope,What are the properties of a telescope?,telescope
television,What are the properties of a television?,television
tennis ball,What are the properties of a tennis ball?,tennis_ball
terrarium,What are the properties of a terrarium?,terrarium
test tube,What are the properties of a test tube?,test_tube
thermos,What are the properties of a thermos?,thermos
thermostat,What are the properties of a thermostat?,thermostat
thorn,What are the properties of a thorn?,thorn
thread,What are the properties of a thread?,thread
throne,What are the properties of a throne?,throne
thumb,What are the properties of a thumb?,thumb
thumbtack,What are the properties of a thumbtack?,thumbtack
tiara,What are the properties of a tiara?,tiara
tick,What are the properties of a tick?,tick
ticktacktoe,What are the properties of a ticktacktoe?,ticktacktoe
tie,What are the properties of a tie?,tie
timer,What are the properties of a timer?,timer
tinsel,What are the properties of a tinsel?,tinsel
tiramisu,What are the properties of a tiramisu?,tiramisu
toast,What are the properties of a toast?,toast
toaster oven,What are the properties of a toaster oven?,toaster_oven
toe,What are the properties of a toe?,toe
toga,What are the properties of a toga?,toga
toilet paper,What are the properties of a toilet paper?,toilet_paper
tomato sauce,What are the properties of a tomato sauce?,tomato_sauce
tongue,What are the properties of a tongue?,tongue
tool,What are the properties of a tool?,tool
toolbox,What are the properties of a toolbox?,toolbox
tooth,What are the properties of a tooth?,tooth
toothbrush,What are the properties of a toothbrush?,toothbrush
toothpaste,What are the properties of a toothpaste?,toothpaste
toothpick,What are the properties of a toothpick?,toothpick
top hat,What are the properties of a top hat?,top_hat
torch,What are the properties of a torch?,torch
torpedo,What are the properties of a torpedo?,torpedo
torso,What are the properties of a torso?,torso
tortellini,What are the properties of tortellini?,tortellini
tortilla,What are the properties of a tortilla?,tortilla
tostada,What are the properties of a tostada?,tostada
totem pole,What are the properties of a totem pole?,totem_pole
toucan,What are the properties of a toucan?,toucan
touchpad,What are the properties of a touchpad?,touchpad
towel,What are the properties of a towel?,towel
towel rack,What are the properties of a towel rack?,towel_rack
toy,What are the properties of a toy?,toy
traffic light,What are the properties of a traffic light?,traffic_light
trailer,What are the properties of a trailer?,trailer
train car,What are the properties of a train car?,train_car
train set,What are the properties of a train set?,train_set
trampoline,What are the properties of a trampoline?,trampoline
trap,What are the properties of a trap (hunting equipment)?,trap
trapdoor,What are the properties of a trapdoor?,trapdoor
trashcan,What are the properties of a trashcan?,trashcan
treadmill,What are the properties of a treadmill?,treadmill
treasure,What are the properties of a treasure?,treasure
tree,What are the properties of a tree?,tree
tree trunk,What are the properties of a tree trunk?,tree_trunk
triangle,What are the properties of a triangle (musical instrument)?,triangle
trident,What are the properties of a trident?,trident
trigger,What are the properties of a trigger?,trigger
trophy,What are the properties of a trophy?,trophy
trough,What are the properties of a trough?,trough
trowel,What are the properties of a trowel?,trowel
tube top,What are the properties of a tube top?,tube_top
tugboat,What are the properties of a tugboat?,tugboat
tulip,What are the properties of a tulip?,tulip
tumbleweed,What are the properties of a tumbleweed?,tumbleweed
tuning fork,What are the properties of a tuning fork?,tuning_fork
tupperware,What are the properties of a tupperware?,tupperware
turban,What are the properties of a turban?,turban
turbine,What are the properties of a turbine?,turbine
turf,What are the properties of a turf?,turf
turnstile,What are the properties of a turnstile?,turnstile
turntable,What are the properties of a turntable?,turntable
